"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01010646","Bradford 001A","E08000032","Bradford",1294,171,117,140,428,438,1281,162,122,134,413,450,-0.010046368,-0.052631579,0.042735043,-0.042857143,-0.035046729,0.02739726
"E01010647","Bradford 001B","E08000032","Bradford",1055,174,103,147,294,337,1051,180,95,145,295,336,-0.003791469,0.034482759,-0.077669903,-0.013605442,0.003401361,-0.002967359
"E01010648","Bradford 001C","E08000032","Bradford",1297,199,117,154,409,418,1298,191,128,150,401,428,0.00077101,-0.040201005,0.094017094,-0.025974026,-0.019559902,0.023923445
"E01010692","Bradford 001D","E08000032","Bradford",1893,287,173,252,603,578,1875,281,166,246,600,582,-0.009508716,-0.020905923,-0.040462428,-0.023809524,-0.004975124,0.006920415
"E01010691","Bradford 002A","E08000032","Bradford",1586,291,157,188,470,480,1601,290,165,187,469,490,0.009457755,-0.003436426,0.050955414,-0.005319149,-0.00212766,0.020833333
"E01010693","Bradford 002B","E08000032","Bradford",1474,247,143,154,470,460,1473,242,137,154,473,467,-0.000678426,-0.020242915,-0.041958042,0,0.006382979,0.015217391
"E01010694","Bradford 002C","E08000032","Bradford",1597,245,175,161,466,550,1572,241,163,156,461,551,-0.015654352,-0.016326531,-0.068571429,-0.031055901,-0.010729614,0.001818182
"E01010695","Bradford 002D","E08000032","Bradford",1664,268,213,288,424,471,1654,259,209,289,419,478,-0.006009615,-0.03358209,-0.018779343,0.003472222,-0.011792453,0.014861996
"E01010696","Bradford 002E","E08000032","Bradford",1553,312,170,245,449,377,1555,330,179,232,448,366,0.00128783,0.057692308,0.052941176,-0.053061224,-0.002227171,-0.029177719
"E01010697","Bradford 002F","E08000032","Bradford",1535,265,150,168,447,505,1512,264,137,166,445,500,-0.014983713,-0.003773585,-0.086666667,-0.011904762,-0.004474273,-0.00990099
"E01010698","Bradford 002G","E08000032","Bradford",1876,331,304,367,543,331,1902,334,311,384,545,328,0.013859275,0.009063444,0.023026316,0.046321526,0.003683241,-0.009063444
"E01010699","Bradford 002H","E08000032","Bradford",1927,422,225,369,489,422,1922,423,218,364,482,435,-0.002594707,0.002369668,-0.031111111,-0.013550136,-0.014314928,0.030805687
"E01010767","Bradford 003A","E08000032","Bradford",1465,314,157,254,392,348,1459,324,143,258,382,352,-0.004095563,0.031847134,-0.089171975,0.015748031,-0.025510204,0.011494253
"E01010768","Bradford 003B","E08000032","Bradford",1632,340,189,292,511,300,1617,334,181,285,510,307,-0.009191176,-0.017647059,-0.042328042,-0.023972603,-0.001956947,0.023333333
"E01010769","Bradford 003C","E08000032","Bradford",1604,297,170,371,440,326,1653,300,183,381,435,354,0.030548628,0.01010101,0.076470588,0.026954178,-0.011363636,0.085889571
"E01010771","Bradford 003D","E08000032","Bradford",1261,246,138,226,358,293,1254,248,134,214,361,297,-0.00555115,0.008130081,-0.028985507,-0.053097345,0.008379888,0.013651877
"E01010638","Bradford 004A","E08000032","Bradford",1552,217,212,222,490,411,1554,220,206,222,484,422,0.00128866,0.013824885,-0.028301887,0,-0.012244898,0.02676399
"E01010639","Bradford 004B","E08000032","Bradford",1864,337,265,366,482,414,1843,344,253,360,471,415,-0.011266094,0.020771513,-0.045283019,-0.016393443,-0.022821577,0.002415459
"E01010640","Bradford 004C","E08000032","Bradford",1801,370,368,368,441,254,1728,363,356,357,429,223,-0.040533037,-0.018918919,-0.032608696,-0.029891304,-0.027210884,-0.122047244
"E01010641","Bradford 004D","E08000032","Bradford",1475,227,199,191,432,426,1538,235,201,222,436,444,0.042711864,0.035242291,0.010050251,0.162303665,0.009259259,0.042253521
"E01010642","Bradford 004E","E08000032","Bradford",1778,246,189,266,576,501,1772,258,185,261,572,496,-0.003374578,0.048780488,-0.021164021,-0.018796992,-0.006944444,-0.00998004
"E01010643","Bradford 004F","E08000032","Bradford",1436,209,249,312,364,302,1442,211,244,307,378,302,0.004178273,0.009569378,-0.020080321,-0.016025641,0.038461538,0
"E01010644","Bradford 004G","E08000032","Bradford",1682,315,249,350,424,344,1639,299,249,341,418,332,-0.025564804,-0.050793651,0,-0.025714286,-0.014150943,-0.034883721
"E01010645","Bradford 004H","E08000032","Bradford",1566,277,176,258,497,358,1567,291,179,247,505,345,0.00063857,0.050541516,0.017045455,-0.042635659,0.016096579,-0.036312849
"E01010770","Bradford 005A","E08000032","Bradford",1729,347,177,278,602,325,1779,343,182,277,615,362,0.02891845,-0.011527378,0.028248588,-0.003597122,0.021594684,0.113846154
"E01010772","Bradford 005B","E08000032","Bradford",1192,207,118,169,335,363,1208,199,111,180,353,365,0.013422819,-0.038647343,-0.059322034,0.065088757,0.053731343,0.005509642
"E01010773","Bradford 005C","E08000032","Bradford",1413,232,157,263,421,340,1430,252,157,264,422,335,0.012031139,0.086206897,0,0.003802281,0.002375297,-0.014705882
"E01010774","Bradford 005D","E08000032","Bradford",1589,253,172,318,425,421,1561,261,168,307,418,407,-0.017621145,0.031620553,-0.023255814,-0.034591195,-0.016470588,-0.033254157
"E01010706","Bradford 006A","E08000032","Bradford",1635,289,203,250,530,363,1609,297,204,232,518,358,-0.015902141,0.027681661,0.004926108,-0.072,-0.022641509,-0.013774105
"E01010707","Bradford 006B","E08000032","Bradford",1805,276,230,304,543,452,1873,297,243,331,557,445,0.03767313,0.076086957,0.056521739,0.088815789,0.025782689,-0.015486726
"E01010708","Bradford 006C","E08000032","Bradford",1609,381,229,328,381,290,1581,362,231,318,381,289,-0.017402113,-0.049868766,0.008733624,-0.030487805,0,-0.003448276
"E01010709","Bradford 006D","E08000032","Bradford",2662,593,314,566,716,473,2639,585,308,570,703,473,-0.00864012,-0.013490725,-0.01910828,0.007067138,-0.018156425,0
"E01010719","Bradford 007A","E08000032","Bradford",1674,544,339,367,254,170,1697,548,344,358,273,174,0.013739546,0.007352941,0.014749263,-0.024523161,0.07480315,0.023529412
"E01010727","Bradford 007B","E08000032","Bradford",1623,250,214,265,526,368,1594,229,218,254,525,368,-0.017868145,-0.084,0.018691589,-0.041509434,-0.001901141,0
"E01010728","Bradford 007C","E08000032","Bradford",1834,534,343,435,338,184,1838,543,338,438,333,186,0.002181025,0.016853933,-0.014577259,0.006896552,-0.014792899,0.010869565
"E01010729","Bradford 007D","E08000032","Bradford",1635,372,241,268,378,376,1614,375,234,274,362,369,-0.012844037,0.008064516,-0.029045643,0.02238806,-0.042328042,-0.018617021
