"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"W01001623","Newport 001A","W06000022","Newport",1430,232,190,208,438,362,1439,216,190,206,448,379,0.006293706,-0.068965517,0,-0.009615385,0.02283105,0.046961326
"W01001624","Newport 001B","W06000022","Newport",1254,224,157,207,410,256,1257,230,159,212,415,241,0.002392344,0.026785714,0.012738854,0.024154589,0.012195122,-0.05859375
"W01001625","Newport 001C","W06000022","Newport",1237,165,142,179,408,343,1186,167,134,172,395,318,-0.041228779,0.012121212,-0.056338028,-0.039106145,-0.031862745,-0.072886297
"W01001626","Newport 001D","W06000022","Newport",1327,227,126,226,396,352,1321,220,131,228,395,347,-0.004521477,-0.030837004,0.03968254,0.008849558,-0.002525253,-0.014204545
"W01001627","Newport 001E","W06000022","Newport",1439,217,183,187,491,361,1462,225,192,181,498,366,0.015983322,0.036866359,0.049180328,-0.032085561,0.014256619,0.013850416
"W01001628","Newport 001F","W06000022","Newport",1063,161,189,147,290,276,1082,169,186,146,304,277,0.017873942,0.049689441,-0.015873016,-0.006802721,0.048275862,0.003623188
"W01001651","Newport 002A","W06000022","Newport",1478,205,224,218,421,410,1427,188,211,214,413,401,-0.034506089,-0.082926829,-0.058035714,-0.018348624,-0.019002375,-0.02195122
"W01001652","Newport 002B","W06000022","Newport",1839,424,368,315,439,293,1883,440,365,334,441,303,0.023926047,0.037735849,-0.008152174,0.06031746,0.004555809,0.034129693
"W01001653","Newport 002C","W06000022","Newport",1396,205,188,214,388,401,1387,198,195,211,389,394,-0.006446991,-0.034146341,0.037234043,-0.014018692,0.00257732,-0.017456359
"W01001654","Newport 002D","W06000022","Newport",1645,326,236,327,427,329,1637,326,218,331,421,341,-0.004863222,0,-0.076271186,0.012232416,-0.014051522,0.036474164
"W01001655","Newport 002E","W06000022","Newport",1562,291,181,258,416,416,1577,292,189,259,428,409,0.009603073,0.003436426,0.044198895,0.003875969,0.028846154,-0.016826923
"W01001617","Newport 003A","W06000022","Newport",1253,270,229,216,273,265,1231,261,233,212,273,252,-0.017557861,-0.033333333,0.017467249,-0.018518519,0,-0.049056604
"W01001618","Newport 003B","W06000022","Newport",1098,195,204,183,295,221,1125,197,208,190,296,234,0.024590164,0.01025641,0.019607843,0.038251366,0.003389831,0.058823529
"W01001619","Newport 003C","W06000022","Newport",1317,301,266,204,338,208,1351,306,279,216,337,213,0.025816249,0.016611296,0.04887218,0.058823529,-0.00295858,0.024038462
"W01001620","Newport 003D","W06000022","Newport",1549,358,332,369,305,185,1512,342,324,345,299,202,-0.023886378,-0.044692737,-0.024096386,-0.06504065,-0.019672131,0.091891892
"W01001621","Newport 003E","W06000022","Newport",1262,219,232,189,338,284,1300,223,249,198,340,290,0.030110935,0.01826484,0.073275862,0.047619048,0.00591716,0.021126761
"W01001622","Newport 003F","W06000022","Newport",1271,199,270,187,368,247,1284,194,271,200,361,258,0.010228167,-0.025125628,0.003703704,0.069518717,-0.019021739,0.044534413
"W01001639","Newport 004A","W06000022","Newport",2099,411,339,388,676,285,2095,416,335,380,674,290,-0.001905669,0.01216545,-0.01179941,-0.020618557,-0.00295858,0.01754386
"W01001640","Newport 004B","W06000022","Newport",1138,120,102,143,396,377,1161,118,114,138,401,390,0.020210896,-0.016666667,0.117647059,-0.034965035,0.012626263,0.034482759
"W01001641","Newport 004C","W06000022","Newport",1309,179,144,183,453,350,1328,180,135,208,447,358,0.014514897,0.005586592,-0.0625,0.136612022,-0.013245033,0.022857143
"W01001649","Newport 004D","W06000022","Newport",2007,375,339,341,565,387,1978,377,335,332,563,371,-0.014449427,0.005333333,-0.01179941,-0.026392962,-0.003539823,-0.041343669
"W01001650","Newport 004E","W06000022","Newport",1455,315,262,282,400,196,1472,325,270,276,402,199,0.011683849,0.031746032,0.030534351,-0.021276596,0.005,0.015306122
"W01001614","Newport 005A","W06000022","Newport",1522,294,221,283,376,348,1535,291,228,295,367,354,0.008541393,-0.010204082,0.031674208,0.042402827,-0.02393617,0.017241379
"W01001615","Newport 005B","W06000022","Newport",1554,377,237,317,392,231,1567,380,248,318,392,229,0.008365508,0.00795756,0.046413502,0.003154574,0,-0.008658009
"W01001616","Newport 005C","W06000022","Newport",1445,225,223,212,461,324,1447,215,225,233,460,314,0.001384083,-0.044444444,0.00896861,0.099056604,-0.002169197,-0.030864198
"W01001678","Newport 005D","W06000022","Newport",1558,289,251,296,464,258,1555,296,251,293,462,253,-0.001925546,0.024221453,0,-0.010135135,-0.004310345,-0.019379845
"W01001601","Newport 006A","W06000022","Newport",1482,378,330,280,348,146,1475,371,331,278,355,140,-0.004723347,-0.018518519,0.003030303,-0.007142857,0.020114943,-0.04109589
"W01001681","Newport 006B","W06000022","Newport",1386,283,290,312,317,184,1406,292,298,308,328,180,0.014430014,0.03180212,0.027586207,-0.012820513,0.034700315,-0.02173913
"W01001682","Newport 006C","W06000022","Newport",1351,230,226,194,370,331,1384,228,237,205,383,331,0.024426351,-0.008695652,0.048672566,0.056701031,0.035135135,0
"W01001683","Newport 006D","W06000022","Newport",1071,232,186,212,265,176,1089,235,184,214,273,183,0.016806723,0.012931034,-0.010752688,0.009433962,0.030188679,0.039772727
"W01001684","Newport 006E","W06000022","Newport",1461,289,260,357,388,167,1477,294,255,363,389,176,0.010951403,0.017301038,-0.019230769,0.016806723,0.00257732,0.053892216
"W01001675","Newport 007A","W06000022","Newport",1517,327,325,279,389,197,1544,337,333,273,389,212,0.017798286,0.03058104,0.024615385,-0.021505376,0,0.076142132
"W01001676","Newport 007B","W06000022","Newport",1703,379,406,402,353,163,1742,395,421,398,360,168,0.022900763,0.042216359,0.036945813,-0.009950249,0.019830028,0.030674847
"W01001677","Newport 007C","W06000022","Newport",1427,267,236,278,318,328,1453,275,234,275,336,333,0.018220042,0.029962547,-0.008474576,-0.010791367,0.056603774,0.015243902
"W01001679","Newport 007D","W06000022","Newport",1138,202,180,181,340,235,1184,224,193,195,332,240,0.040421793,0.108910891,0.072222222,0.077348066,-0.023529412,0.021276596
