"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"W01001545","Monmouthshire 001A","W06000021","Monmouthshire",1447,187,104,133,418,605,1467,196,109,141,412,609,0.0138217,0.048128342,0.048076923,0.060150376,-0.014354067,0.00661157
"W01001548","Monmouthshire 001B","W06000021","Monmouthshire",2164,307,275,278,770,534,2130,291,269,273,762,535,-0.015711645,-0.052117264,-0.021818182,-0.017985612,-0.01038961,0.001872659
"W01001557","Monmouthshire 001C","W06000021","Monmouthshire",1834,265,323,313,536,397,1881,281,341,317,548,394,0.025627045,0.060377358,0.055727554,0.012779553,0.02238806,-0.007556675
"W01001571","Monmouthshire 001D","W06000021","Monmouthshire",1292,197,161,189,412,333,1270,201,155,184,407,323,-0.017027864,0.020304569,-0.037267081,-0.026455026,-0.012135922,-0.03003003
"W01001579","Monmouthshire 001E","W06000021","Monmouthshire",1429,165,152,217,426,469,1432,160,154,206,440,472,0.00209937,-0.03030303,0.013157895,-0.050691244,0.03286385,0.006396588
"W01001546","Monmouthshire 002A","W06000021","Monmouthshire",1491,314,298,251,392,236,1474,318,289,252,382,233,-0.011401744,0.012738854,-0.030201342,0.003984064,-0.025510204,-0.012711864
"W01001558","Monmouthshire 002C","W06000021","Monmouthshire",1524,272,188,267,433,364,1546,270,207,256,440,373,0.014435696,-0.007352941,0.10106383,-0.041198502,0.016166282,0.024725275
"W01001580","Monmouthshire 002E","W06000021","Monmouthshire",1826,316,240,276,513,481,1813,303,231,282,506,491,-0.007119387,-0.041139241,-0.0375,0.02173913,-0.013645224,0.020790021
"W01001909","Monmouthshire 002F","W06000021","Monmouthshire",2637,470,435,409,718,605,2655,487,446,419,717,586,0.006825939,0.036170213,0.025287356,0.024449878,-0.001392758,-0.031404959
"W01001561","Monmouthshire 003A","W06000021","Monmouthshire",1475,179,125,155,417,599,1443,188,119,147,396,593,-0.021694915,0.05027933,-0.048,-0.051612903,-0.050359712,-0.010016694
"W01001562","Monmouthshire 003B","W06000021","Monmouthshire",1481,260,211,256,497,257,1505,256,204,258,511,276,0.016205267,-0.015384615,-0.033175355,0.0078125,0.028169014,0.073929961
"W01001563","Monmouthshire 003C","W06000021","Monmouthshire",1099,175,141,172,319,292,1137,184,146,175,329,303,0.034576888,0.051428571,0.035460993,0.01744186,0.031347962,0.037671233
"W01001564","Monmouthshire 003D","W06000021","Monmouthshire",2641,435,389,391,723,703,2596,417,376,378,733,692,-0.017039,-0.04137931,-0.033419023,-0.033248082,0.013831259,-0.015647226
"W01001569","Monmouthshire 003E","W06000021","Monmouthshire",1395,198,188,177,418,414,1460,214,206,211,423,406,0.046594982,0.080808081,0.095744681,0.192090395,0.011961722,-0.019323671
"W01001552","Monmouthshire 004A","W06000021","Monmouthshire",1562,249,180,166,487,480,1571,259,176,170,487,479,0.005761844,0.040160643,-0.022222222,0.024096386,0,-0.002083333
"W01001553","Monmouthshire 004B","W06000021","Monmouthshire",2869,577,429,458,873,532,2921,574,436,486,874,551,0.018124782,-0.005199307,0.016317016,0.061135371,0.001145475,0.035714286
"W01001554","Monmouthshire 004C","W06000021","Monmouthshire",1787,402,389,208,367,421,1767,386,393,198,358,432,-0.011191942,-0.039800995,0.010282776,-0.048076923,-0.024523161,0.026128266
"W01001576","Monmouthshire 004D","W06000021","Monmouthshire",1117,219,204,193,294,207,1108,214,203,190,300,201,-0.008057296,-0.02283105,-0.004901961,-0.015544041,0.020408163,-0.028985507
"W01001577","Monmouthshire 004E","W06000021","Monmouthshire",1260,215,182,178,282,403,1289,225,181,179,300,404,0.023015873,0.046511628,-0.005494505,0.005617978,0.063829787,0.00248139
"W01001599","Monmouthshire 004F","W06000021","Monmouthshire",2171,329,260,306,631,645,2143,319,270,299,618,637,-0.012897282,-0.030395137,0.038461538,-0.022875817,-0.020602219,-0.012403101
"W01001566","Monmouthshire 005A","W06000021","Monmouthshire",1241,176,174,178,412,301,1248,180,162,193,405,308,0.005640612,0.022727273,-0.068965517,0.084269663,-0.016990291,0.023255814
"W01001567","Monmouthshire 005B","W06000021","Monmouthshire",981,115,91,110,351,314,1031,120,101,115,365,330,0.0509684,0.043478261,0.10989011,0.045454545,0.03988604,0.050955414
"W01001568","Monmouthshire 005C","W06000021","Monmouthshire",1819,296,219,233,633,438,1817,297,222,227,632,439,-0.001099505,0.003378378,0.01369863,-0.025751073,-0.001579779,0.002283105
"W01001575","Monmouthshire 005D","W06000021","Monmouthshire",1298,219,125,180,425,349,1275,221,136,184,410,324,-0.017719569,0.00913242,0.088,0.022222222,-0.035294118,-0.071633238
"W01001581","Monmouthshire 005E","W06000021","Monmouthshire",1956,277,220,253,628,578,1936,280,217,240,625,574,-0.010224949,0.010830325,-0.013636364,-0.051383399,-0.00477707,-0.006920415
"W01001555","Monmouthshire 006A","W06000021","Monmouthshire",1184,153,137,135,416,343,1134,139,138,125,410,322,-0.04222973,-0.091503268,0.00729927,-0.074074074,-0.014423077,-0.06122449
"W01001556","Monmouthshire 006B","W06000021","Monmouthshire",1207,203,159,192,384,269,1220,205,157,198,390,270,0.010770505,0.009852217,-0.012578616,0.03125,0.015625,0.003717472
"W01001560","Monmouthshire 006C","W06000021","Monmouthshire",1325,205,181,143,462,334,1400,217,202,155,473,353,0.056603774,0.058536585,0.116022099,0.083916084,0.023809524,0.056886228
"W01001565","Monmouthshire 006D","W06000021","Monmouthshire",1886,264,233,232,666,491,1883,272,225,237,662,487,-0.001590668,0.03030303,-0.034334764,0.021551724,-0.006006006,-0.00814664
"W01001596","Monmouthshire 006E","W06000021","Monmouthshire",1401,107,179,273,429,413,1388,106,179,263,416,424,-0.009279086,-0.009345794,0,-0.036630037,-0.03030303,0.026634383
"W01001597","Monmouthshire 006F","W06000021","Monmouthshire",1510,242,197,212,479,380,1533,239,206,222,487,379,0.015231788,-0.012396694,0.045685279,0.047169811,0.016701461,-0.002631579
"W01001549","Monmouthshire 007A","W06000021","Monmouthshire",1472,218,173,157,543,381,1492,235,176,149,542,390,0.013586957,0.077981651,0.01734104,-0.050955414,-0.001841621,0.023622047
"W01001583","Monmouthshire 007B","W06000021","Monmouthshire",1640,268,175,228,522,447,1659,269,186,232,524,448,0.011585366,0.003731343,0.062857143,0.01754386,0.003831418,0.002237136
"W01001585","Monmouthshire 007C","W06000021","Monmouthshire",1228,183,163,167,405,310,1294,186,173,174,423,338,0.053745928,0.016393443,0.061349693,0.041916168,0.044444444,0.090322581
"W01001586","Monmouthshire 007D","W06000021","Monmouthshire",2494,518,287,406,785,498,2501,502,291,422,795,491,0.002806736,-0.030888031,0.013937282,0.039408867,0.012738854,-0.014056225
"W01001594","Monmouthshire 007E","W06000021","Monmouthshire",1430,244,131,163,502,390,1412,236,130,165,505,376,-0.012587413,-0.032786885,-0.007633588,0.012269939,0.005976096,-0.035897436
