"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01030032","Ipswich 001A","E07000202","Ipswich",1538,446,299,309,311,173,1580,458,311,322,318,171,0.027308192,0.02690583,0.040133779,0.042071197,0.022508039,-0.011560694
"E01030033","Ipswich 001B","E07000202","Ipswich",1475,228,194,244,402,407,1445,229,202,248,397,369,-0.020338983,0.004385965,0.041237113,0.016393443,-0.012437811,-0.093366093
"E01030034","Ipswich 001C","E07000202","Ipswich",1349,160,155,161,405,468,1345,147,157,157,411,473,-0.002965159,-0.08125,0.012903226,-0.02484472,0.014814815,0.010683761
"E01030035","Ipswich 001D","E07000202","Ipswich",1870,504,334,357,434,241,1906,515,347,367,437,240,0.019251337,0.021825397,0.038922156,0.028011204,0.006912442,-0.004149378
"E01030036","Ipswich 001E","E07000202","Ipswich",1777,370,289,328,408,382,1805,373,303,332,407,390,0.015756894,0.008108108,0.048442907,0.012195122,-0.00245098,0.020942408
"E01029973","Ipswich 002A","E07000202","Ipswich",1424,197,172,194,411,450,1483,187,177,201,426,492,0.041432584,-0.050761421,0.029069767,0.036082474,0.03649635,0.093333333
"E01029974","Ipswich 002B","E07000202","Ipswich",1465,239,244,264,440,278,1487,249,254,267,441,276,0.015017065,0.041841004,0.040983607,0.011363636,0.002272727,-0.007194245
"E01029975","Ipswich 002C","E07000202","Ipswich",1265,250,216,207,329,263,1298,260,229,212,334,263,0.026086957,0.04,0.060185185,0.024154589,0.015197568,0
"E01029976","Ipswich 002D","E07000202","Ipswich",1457,277,177,263,426,314,1449,266,180,269,431,303,-0.005490734,-0.039711191,0.016949153,0.022813688,0.011737089,-0.035031847
"E01029977","Ipswich 002E","E07000202","Ipswich",1466,266,149,271,433,347,1482,265,152,276,432,357,0.010914052,-0.003759398,0.020134228,0.018450185,-0.002309469,0.028818444
"E01030027","Ipswich 003A","E07000202","Ipswich",2113,447,465,548,463,190,2252,471,517,584,484,196,0.065783247,0.053691275,0.111827957,0.065693431,0.045356371,0.031578947
"E01030028","Ipswich 003B","E07000202","Ipswich",1595,321,270,331,416,257,1626,328,275,336,428,259,0.019435737,0.021806854,0.018518519,0.01510574,0.028846154,0.007782101
"E01030029","Ipswich 003C","E07000202","Ipswich",1578,348,269,299,384,278,1599,350,283,301,387,278,0.013307985,0.005747126,0.05204461,0.006688963,0.0078125,0
"E01030030","Ipswich 003D","E07000202","Ipswich",2115,508,427,477,453,250,2114,487,427,495,451,254,-0.000472813,-0.041338583,0,0.037735849,-0.004415011,0.016
"E01030031","Ipswich 003E","E07000202","Ipswich",1517,361,294,291,343,228,1542,362,305,290,355,230,0.016479895,0.002770083,0.037414966,-0.003436426,0.034985423,0.00877193
"E01029997","Ipswich 004A","E07000202","Ipswich",1519,342,177,296,415,289,1547,350,190,305,412,290,0.01843318,0.023391813,0.073446328,0.030405405,-0.007228916,0.003460208
"E01029998","Ipswich 004B","E07000202","Ipswich",1757,377,291,324,404,361,1812,380,309,341,407,375,0.031303358,0.00795756,0.06185567,0.052469136,0.007425743,0.038781163
"E01029999","Ipswich 004C","E07000202","Ipswich",1638,389,199,331,465,254,1678,393,212,343,473,257,0.024420024,0.010282776,0.065326633,0.036253776,0.017204301,0.011811024
"E01030000","Ipswich 004D","E07000202","Ipswich",1576,358,259,342,412,205,1609,374,271,351,406,207,0.020939086,0.044692737,0.046332046,0.026315789,-0.014563107,0.009756098
"E01030001","Ipswich 004E","E07000202","Ipswich",1622,315,216,261,445,385,1643,298,219,268,465,393,0.012946979,-0.053968254,0.013888889,0.026819923,0.04494382,0.020779221
"E01030007","Ipswich 005A","E07000202","Ipswich",1931,436,327,429,475,264,1922,425,336,431,484,246,-0.004660798,-0.025229358,0.027522936,0.004662005,0.018947368,-0.068181818
"E01030008","Ipswich 005B","E07000202","Ipswich",1268,198,170,166,390,344,1309,195,181,178,395,360,0.032334385,-0.015151515,0.064705882,0.072289157,0.012820513,0.046511628
