"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01008595","South Tyneside 001A","E08000023","South Tyneside",1522,205,286,355,453,223,1538,211,292,361,458,216,0.010512484,0.029268293,0.020979021,0.016901408,0.011037528,-0.031390135
"E01008596","South Tyneside 001B","E08000023","South Tyneside",1391,339,264,276,309,203,1425,341,268,275,310,231,0.024442847,0.005899705,0.015151515,-0.003623188,0.003236246,0.137931034
"E01008597","South Tyneside 001C","E08000023","South Tyneside",2614,429,431,654,728,372,2563,432,429,643,725,334,-0.019510329,0.006993007,-0.004640371,-0.016819572,-0.004120879,-0.102150538
"E01008598","South Tyneside 001D","E08000023","South Tyneside",1558,296,292,304,447,219,1567,289,288,306,454,230,0.005776637,-0.023648649,-0.01369863,0.006578947,0.015659955,0.050228311
"E01008599","South Tyneside 001E","E08000023","South Tyneside",1415,236,198,213,426,342,1394,236,196,210,423,329,-0.014840989,0,-0.01010101,-0.014084507,-0.007042254,-0.038011696
"E01008664","South Tyneside 002A","E08000023","South Tyneside",1624,248,492,312,380,192,1589,251,485,311,360,182,-0.021551724,0.012096774,-0.014227642,-0.003205128,-0.052631579,-0.052083333
"E01008665","South Tyneside 002B","E08000023","South Tyneside",1335,186,307,270,384,188,1314,187,286,261,383,197,-0.015730337,0.005376344,-0.068403909,-0.033333333,-0.002604167,0.04787234
"E01008666","South Tyneside 002C","E08000023","South Tyneside",1675,317,383,315,412,248,1676,325,382,306,413,250,0.000597015,0.025236593,-0.002610966,-0.028571429,0.002427184,0.008064516
"E01008667","South Tyneside 002D","E08000023","South Tyneside",1553,201,235,300,485,332,1580,210,237,311,479,343,0.017385705,0.044776119,0.008510638,0.036666667,-0.012371134,0.03313253
"E01008668","South Tyneside 002E","E08000023","South Tyneside",1613,212,332,318,519,232,1643,222,340,316,525,240,0.018598884,0.047169811,0.024096386,-0.006289308,0.011560694,0.034482759
"E01008673","South Tyneside 003A","E08000023","South Tyneside",1203,173,183,211,396,240,1204,167,189,209,402,237,0.000831255,-0.034682081,0.032786885,-0.009478673,0.015151515,-0.0125
"E01008675","South Tyneside 003B","E08000023","South Tyneside",1370,214,281,308,361,206,1357,209,275,301,370,202,-0.009489051,-0.023364486,-0.021352313,-0.022727273,0.024930748,-0.019417476
"E01008676","South Tyneside 003C","E08000023","South Tyneside",1312,197,252,309,382,172,1300,199,250,297,381,173,-0.009146341,0.010152284,-0.007936508,-0.038834951,-0.002617801,0.005813953
"E01008677","South Tyneside 003D","E08000023","South Tyneside",1321,167,243,233,353,325,1343,168,237,230,366,342,0.01665405,0.005988024,-0.024691358,-0.012875536,0.036827195,0.052307692
"E01008678","South Tyneside 003E","E08000023","South Tyneside",1245,142,267,239,363,234,1267,145,276,238,375,233,0.017670683,0.021126761,0.033707865,-0.0041841,0.033057851,-0.004273504
"E01008647","South Tyneside 004A","E08000023","South Tyneside",1474,189,170,202,497,416,1478,191,178,203,494,412,0.002713704,0.010582011,0.047058824,0.004950495,-0.006036217,-0.009615385
"E01008648","South Tyneside 004B","E08000023","South Tyneside",1306,146,166,177,404,413,1323,134,168,179,419,423,0.013016845,-0.082191781,0.012048193,0.011299435,0.037128713,0.024213075
"E01008649","South Tyneside 004C","E08000023","South Tyneside",1668,378,273,285,457,275,1690,380,261,277,456,316,0.013189448,0.005291005,-0.043956044,-0.028070175,-0.002188184,0.149090909
"E01008651","South Tyneside 004D","E08000023","South Tyneside",2209,590,388,361,456,414,2165,563,387,368,456,391,-0.019918515,-0.045762712,-0.00257732,0.019390582,0,-0.055555556
"E01008679","South Tyneside 005A","E08000023","South Tyneside",1279,168,230,228,382,271,1264,171,233,214,364,282,-0.011727912,0.017857143,0.013043478,-0.061403509,-0.047120419,0.040590406
"E01008680","South Tyneside 005B","E08000023","South Tyneside",1409,190,182,200,433,404,1419,199,177,195,436,412,0.007097232,0.047368421,-0.027472527,-0.025,0.006928406,0.01980198
"E01008682","South Tyneside 005C","E08000023","South Tyneside",1207,260,253,194,275,225,1213,271,255,176,282,229,0.004971002,0.042307692,0.007905138,-0.092783505,0.025454545,0.017777778
"E01008683","South Tyneside 005D","E08000023","South Tyneside",1453,185,317,308,412,231,1445,195,316,314,387,233,-0.00550585,0.054054054,-0.003154574,0.019480519,-0.060679612,0.008658009
"E01008635","South Tyneside 006A","E08000023","South Tyneside",1364,210,205,171,379,399,1343,207,204,161,388,383,-0.015395894,-0.014285714,-0.004878049,-0.058479532,0.023746702,-0.040100251
"E01008650","South Tyneside 006B","E08000023","South Tyneside",1427,226,194,215,476,316,1373,215,186,206,474,292,-0.037841626,-0.048672566,-0.041237113,-0.041860465,-0.004201681,-0.075949367
"E01008674","South Tyneside 006C","E08000023","South Tyneside",1170,152,131,182,429,276,1238,173,139,187,438,301,0.058119658,0.138157895,0.061068702,0.027472527,0.020979021,0.09057971
"E01008681","South Tyneside 006D","E08000023","South Tyneside",1417,175,152,201,445,444,1412,172,147,202,454,437,-0.003528582,-0.017142857,-0.032894737,0.004975124,0.020224719,-0.015765766
"E01008600","South Tyneside 007A","E08000023","South Tyneside",1366,260,244,262,373,227,1337,250,238,271,366,212,-0.021229868,-0.038461538,-0.024590164,0.034351145,-0.018766756,-0.066079295
"E01008604","South Tyneside 007B","E08000023","South Tyneside",1665,321,297,325,429,293,1668,337,290,325,416,300,0.001801802,0.049844237,-0.023569024,0,-0.03030303,0.023890785
"E01008660","South Tyneside 007C","E08000023","South Tyneside",1405,213,203,271,462,256,1367,200,211,275,454,227,-0.027046263,-0.061032864,0.039408867,0.014760148,-0.017316017,-0.11328125
"E01008661","South Tyneside 007D","E08000023","South Tyneside",1074,182,176,167,318,231,1127,186,174,175,334,258,0.049348231,0.021978022,-0.011363636,0.047904192,0.050314465,0.116883117
"E01008633","South Tyneside 008A","E08000023","South Tyneside",1424,350,244,251,329,250,1409,350,246,250,327,236,-0.010533708,0,0.008196721,-0.003984064,-0.006079027,-0.056
"E01008634","South Tyneside 008B","E08000023","South Tyneside",1295,232,222,213,316,312,1309,237,221,223,314,314,0.010810811,0.021551724,-0.004504505,0.046948357,-0.006329114,0.006410256
"E01008636","South Tyneside 008C","E08000023","South Tyneside",1429,256,261,242,405,265,1454,258,262,263,403,268,0.017494752,0.0078125,0.003831418,0.08677686,-0.004938272,0.011320755
"E01008637","South Tyneside 008D","E08000023","South Tyneside",1413,231,240,251,428,263,1417,233,234,247,417,286,0.002830856,0.008658009,-0.025,-0.015936255,-0.025700935,0.087452471
"E01008639","South Tyneside 009A","E08000023","South Tyneside",2399,562,452,599,555,231,2392,578,444,596,535,239,-0.002917882,0.028469751,-0.017699115,-0.005008347,-0.036036036,0.034632035
"E01008652","South Tyneside 009B","E08000023","South Tyneside",1171,190,201,219,336,225,1136,191,186,214,324,221,-0.029888984,0.005263158,-0.074626866,-0.02283105,-0.035714286,-0.017777778
"E01008653","South Tyneside 009C","E08000023","South Tyneside",1251,257,218,255,353,168,1224,258,215,244,343,164,-0.021582734,0.003891051,-0.013761468,-0.043137255,-0.028328612,-0.023809524
"E01008654","South Tyneside 009D","E08000023","South Tyneside",1180,165,268,236,338,173,1203,161,270,247,349,176,0.019491525,-0.024242424,0.007462687,0.046610169,0.032544379,0.01734104
