"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01027558","Craven 001A","E07000163","Craven",1926,260,210,227,684,545,1919,263,221,230,668,537,-0.003634476,0.011538462,0.052380952,0.013215859,-0.023391813,-0.014678899
"E01027559","Craven 001B","E07000163","Craven",1708,274,227,274,516,417,1697,268,227,274,517,411,-0.006440281,-0.02189781,0,0,0.001937984,-0.014388489
"E01027569","Craven 001C","E07000163","Craven",1362,178,139,144,476,425,1385,185,142,143,482,433,0.016886931,0.039325843,0.021582734,-0.006944444,0.012605042,0.018823529
"E01027570","Craven 001D","E07000163","Craven",2427,322,337,298,747,723,2450,315,339,300,768,728,0.00947672,-0.02173913,0.005934718,0.006711409,0.02811245,0.006915629
"E01027562","Craven 002A","E07000163","Craven",1689,220,189,190,636,454,1626,208,187,187,613,431,-0.037300178,-0.054545455,-0.010582011,-0.015789474,-0.036163522,-0.050660793
"E01027567","Craven 002B","E07000163","Craven",1598,193,162,158,508,577,1597,198,153,163,512,571,-0.000625782,0.025906736,-0.055555556,0.03164557,0.007874016,-0.010398614
"E01027585","Craven 002C","E07000163","Craven",1830,200,167,205,548,710,1823,214,173,190,543,703,-0.003825137,0.07,0.035928144,-0.073170732,-0.009124088,-0.009859155
"E01027568","Craven 003A","E07000163","Craven",2195,344,286,329,658,578,2209,337,298,328,673,573,0.006378132,-0.020348837,0.041958042,-0.003039514,0.022796353,-0.008650519
"E01027571","Craven 003B","E07000163","Craven",1924,327,269,195,584,549,1903,303,260,204,587,549,-0.010914761,-0.073394495,-0.033457249,0.046153846,0.005136986,0
"E01027572","Craven 003C","E07000163","Craven",2022,275,245,296,678,528,2026,276,250,298,669,533,0.001978239,0.003636364,0.020408163,0.006756757,-0.013274336,0.009469697
"E01027573","Craven 003D","E07000163","Craven",1749,169,189,156,568,667,1778,172,195,156,581,674,0.016580903,0.017751479,0.031746032,0,0.022887324,0.010494753
"E01027557","Craven 004A","E07000163","Craven",1724,247,261,199,581,436,1667,246,237,199,579,406,-0.033062645,-0.004048583,-0.091954023,0,-0.003442341,-0.068807339
"E01027561","Craven 004B","E07000163","Craven",1941,338,197,311,577,518,1975,353,204,319,583,516,0.017516744,0.044378698,0.035532995,0.025723473,0.010398614,-0.003861004
"E01027576","Craven 004C","E07000163","Craven",1523,224,139,133,513,514,1565,235,141,140,525,524,0.02757715,0.049107143,0.014388489,0.052631579,0.023391813,0.019455253
"E01027574","Craven 005A","E07000163","Craven",1475,233,125,251,434,432,1480,237,133,248,420,442,0.003389831,0.017167382,0.064,-0.011952191,-0.032258065,0.023148148
"E01027575","Craven 005B","E07000163","Craven",1863,283,201,322,551,506,1870,290,200,323,555,502,0.003757381,0.024734982,-0.004975124,0.00310559,0.007259528,-0.007905138
"E01027577","Craven 005C","E07000163","Craven",1992,326,299,331,606,430,1992,332,297,335,595,433,0,0.018404908,-0.006688963,0.012084592,-0.018151815,0.006976744
"E01027579","Craven 005D","E07000163","Craven",1176,272,178,232,301,193,1177,271,182,230,296,198,0.00085034,-0.003676471,0.02247191,-0.00862069,-0.016611296,0.025906736
"E01027578","Craven 006A","E07000163","Craven",1579,298,319,332,383,247,1524,297,320,326,353,228,-0.034832172,-0.003355705,0.003134796,-0.018072289,-0.078328982,-0.076923077
"E01027580","Craven 006B","E07000163","Craven",1113,227,184,189,308,205,1082,222,183,183,306,188,-0.02785265,-0.022026432,-0.005434783,-0.031746032,-0.006493506,-0.082926829
"E01027581","Craven 006C","E07000163","Craven",2577,494,434,510,627,512,2624,482,453,503,646,540,0.018238262,-0.024291498,0.043778802,-0.01372549,0.03030303,0.0546875
"E01027582","Craven 006D","E07000163","Craven",1625,313,245,304,434,329,1561,306,232,313,432,278,-0.039384615,-0.022364217,-0.053061224,0.029605263,-0.004608295,-0.155015198
"E01027556","Craven 007A","E07000163","Craven",1772,336,193,291,605,347,1818,345,198,301,615,359,0.025959368,0.026785714,0.025906736,0.034364261,0.016528926,0.034582133
"E01027560","Craven 007B","E07000163","Craven",2427,519,332,432,745,399,2389,493,326,441,740,389,-0.01565719,-0.050096339,-0.018072289,0.020833333,-0.006711409,-0.025062657
"E01027563","Craven 007C","E07000163","Craven",1452,202,174,173,467,436,1449,192,170,169,466,452,-0.002066116,-0.04950495,-0.022988506,-0.023121387,-0.002141328,0.036697248
"E01027586","Craven 007D","E07000163","Craven",1954,329,225,277,615,508,1974,330,227,281,622,514,0.010235415,0.003039514,0.008888889,0.014440433,0.011382114,0.011811024
"E01027555","Craven 008A","E07000163","Craven",1896,286,223,246,630,511,1971,290,224,256,631,570,0.039556962,0.013986014,0.004484305,0.040650407,0.001587302,0.115459883
"E01027564","Craven 008B","E07000163","Craven",1273,221,149,217,297,389,1314,209,149,224,301,431,0.032207384,-0.054298643,0,0.032258065,0.013468013,0.107969152
"E01027565","Craven 008C","E07000163","Craven",1521,255,220,213,444,389,1502,260,224,204,440,374,-0.012491782,0.019607843,0.018181818,-0.042253521,-0.009009009,-0.038560411
"E01027566","Craven 008D","E07000163","Craven",1244,228,172,205,341,298,1243,244,165,205,342,287,-0.000803859,0.070175439,-0.040697674,0,0.002932551,-0.036912752
"E01027583","Craven 008E","E07000163","Craven",2092,405,289,346,548,504,2071,407,286,339,553,486,-0.010038241,0.004938272,-0.010380623,-0.020231214,0.009124088,-0.035714286
"E01027584","Craven 008F","E07000163","Craven",1659,255,219,254,582,349,1682,268,222,247,598,347,0.013863773,0.050980392,0.01369863,-0.027559055,0.027491409,-0.005730659
