"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01020373","East Dorset 001A","E07000049","East Dorset",1362,310,206,264,382,200,1357,308,211,266,376,196,-0.003671072,-0.006451613,0.024271845,0.007575758,-0.015706806,-0.02
"E01020374","East Dorset 001B","E07000049","East Dorset",1516,218,136,201,523,438,1530,219,143,201,521,446,0.009234828,0.004587156,0.051470588,0,-0.003824092,0.01826484
"E01020389","East Dorset 001C","E07000049","East Dorset",2137,351,293,286,740,467,2118,333,291,279,755,460,-0.008890969,-0.051282051,-0.006825939,-0.024475524,0.02027027,-0.014989293
"E01020397","East Dorset 001D","E07000049","East Dorset",1429,246,140,204,463,376,1421,250,145,204,447,375,-0.005598321,0.016260163,0.035714286,0,-0.034557235,-0.002659574
"E01020416","East Dorset 002A","E07000049","East Dorset",1579,323,288,297,429,242,1534,324,279,296,405,230,-0.02849905,0.003095975,-0.03125,-0.003367003,-0.055944056,-0.049586777
"E01020417","East Dorset 002B","E07000049","East Dorset",1110,197,155,176,299,283,1152,184,166,177,320,305,0.037837838,-0.065989848,0.070967742,0.005681818,0.070234114,0.077738516
"E01020418","East Dorset 002C","E07000049","East Dorset",1495,157,150,140,421,627,1451,151,136,138,415,611,-0.029431438,-0.038216561,-0.093333333,-0.014285714,-0.014251781,-0.025518341
"E01020419","East Dorset 002D","E07000049","East Dorset",1859,326,221,329,478,505,1873,327,215,336,485,510,0.007530931,0.003067485,-0.027149321,0.021276596,0.014644351,0.00990099
"E01020420","East Dorset 002E","E07000049","East Dorset",1344,238,165,207,357,377,1362,244,170,208,351,389,0.013392857,0.025210084,0.03030303,0.004830918,-0.016806723,0.031830239
"E01020411","East Dorset 003A","E07000049","East Dorset",1104,190,147,160,264,343,1116,199,145,158,266,348,0.010869565,0.047368421,-0.013605442,-0.0125,0.007575758,0.014577259
