"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01015431","Poole 001A","E06000029","Poole",1489,369,358,155,311,296,1467,353,353,151,309,301,-0.014775017,-0.043360434,-0.01396648,-0.025806452,-0.006430868,0.016891892
"E01015432","Poole 001B","E06000029","Poole",1641,285,186,245,419,506,1614,286,176,239,420,493,-0.016453382,0.003508772,-0.053763441,-0.024489796,0.002386635,-0.0256917
"E01015433","Poole 001C","E06000029","Poole",1505,185,149,181,478,512,1513,196,163,175,484,495,0.005315615,0.059459459,0.093959732,-0.033149171,0.012552301,-0.033203125
"E01015434","Poole 001D","E06000029","Poole",1631,233,169,205,450,574,1648,248,157,214,443,586,0.010423053,0.064377682,-0.071005917,0.043902439,-0.015555556,0.020905923
"E01015379","Poole 002A","E06000029","Poole",1500,381,261,291,319,248,1507,390,258,292,321,246,0.004666667,0.023622047,-0.011494253,0.003436426,0.006269592,-0.008064516
"E01015435","Poole 002B","E06000029","Poole",1574,352,263,394,412,153,1593,349,267,392,416,169,0.012071156,-0.008522727,0.015209125,-0.005076142,0.009708738,0.104575163
"E01015436","Poole 002C","E06000029","Poole",1358,208,214,212,442,282,1332,200,212,209,433,278,-0.019145803,-0.038461538,-0.009345794,-0.014150943,-0.020361991,-0.014184397
"E01015437","Poole 002D","E06000029","Poole",1246,185,171,218,366,306,1229,164,181,209,370,305,-0.01364366,-0.113513514,0.058479532,-0.041284404,0.010928962,-0.003267974
"E01015395","Poole 003A","E06000029","Poole",1305,149,144,155,378,479,1291,146,142,154,376,473,-0.010727969,-0.020134228,-0.013888889,-0.006451613,-0.005291005,-0.012526096
"E01015396","Poole 003B","E06000029","Poole",1542,213,160,181,475,513,1567,209,153,187,481,537,0.016212711,-0.018779343,-0.04375,0.033149171,0.012631579,0.046783626
"E01015397","Poole 003C","E06000029","Poole",1450,290,187,218,527,228,1452,290,188,218,519,237,0.00137931,0,0.005347594,0,-0.015180266,0.039473684
"E01015398","Poole 003D","E06000029","Poole",1359,269,134,203,440,313,1353,258,145,196,441,313,-0.004415011,-0.040892193,0.082089552,-0.034482759,0.002272727,0
"E01015399","Poole 003E","E06000029","Poole",1525,212,152,139,481,541,1501,198,150,143,475,535,-0.015737705,-0.066037736,-0.013157895,0.028776978,-0.012474012,-0.011090573
"E01015400","Poole 003F","E06000029","Poole",1578,263,175,225,465,450,1608,271,172,224,480,461,0.019011407,0.030418251,-0.017142857,-0.004444444,0.032258065,0.024444444
"E01015401","Poole 003G","E06000029","Poole",1519,204,194,139,472,510,1518,201,194,133,469,521,-0.000658328,-0.014705882,0,-0.043165468,-0.006355932,0.021568627
"E01015412","Poole 004A","E06000029","Poole",1317,201,139,211,441,325,1308,214,148,199,434,313,-0.006833713,0.064676617,0.064748201,-0.056872038,-0.015873016,-0.036923077
"E01015413","Poole 004B","E06000029","Poole",1407,274,205,263,417,248,1426,286,208,275,414,243,0.013503909,0.04379562,0.014634146,0.045627376,-0.007194245,-0.02016129
"E01015414","Poole 004C","E06000029","Poole",1461,248,218,238,455,302,1458,248,207,247,444,312,-0.002053388,0,-0.050458716,0.037815126,-0.024175824,0.033112583
