"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01016070","Medway 001A","E06000035","Medway",1712,282,239,256,487,448,1714,283,224,256,491,460,0.001168224,0.003546099,-0.062761506,0,0.008213552,0.026785714
"E01016071","Medway 001B","E06000035","Medway",1624,323,280,281,464,276,1604,330,282,280,454,258,-0.012315271,0.021671827,0.007142857,-0.003558719,-0.021551724,-0.065217391
"E01016072","Medway 001C","E06000035","Medway",1298,245,223,217,403,210,1297,237,214,220,405,221,-0.000770416,-0.032653061,-0.040358744,0.013824885,0.004962779,0.052380952
"E01016074","Medway 001D","E06000035","Medway",1755,203,195,215,569,573,1761,210,184,221,572,574,0.003418803,0.034482759,-0.056410256,0.027906977,0.005272408,0.001745201
"E01016142","Medway 002A","E06000035","Medway",1306,236,192,262,407,209,1256,215,183,248,395,215,-0.038284839,-0.088983051,-0.046875,-0.053435115,-0.029484029,0.028708134
"E01016144","Medway 002B","E06000035","Medway",1539,238,232,250,456,363,1538,235,225,246,454,378,-0.000649773,-0.012605042,-0.030172414,-0.016,-0.004385965,0.041322314
"E01016145","Medway 002C","E06000035","Medway",1320,284,193,282,361,200,1335,295,188,271,377,204,0.011363636,0.038732394,-0.025906736,-0.039007092,0.04432133,0.02
"E01016149","Medway 002D","E06000035","Medway",1534,350,263,248,421,252,1570,365,260,258,418,269,0.023468057,0.042857143,-0.011406844,0.040322581,-0.007125891,0.067460317
"E01016073","Medway 003A","E06000035","Medway",2022,360,278,325,620,439,2025,362,282,324,627,430,0.00148368,0.005555556,0.014388489,-0.003076923,0.011290323,-0.020501139
"E01016075","Medway 003B","E06000035","Medway",1478,262,227,251,422,316,1468,266,226,241,416,319,-0.0067659,0.015267176,-0.004405286,-0.039840637,-0.014218009,0.009493671
"E01016076","Medway 003C","E06000035","Medway",3135,669,536,702,781,447,3129,690,519,698,771,451,-0.001913876,0.031390135,-0.031716418,-0.005698006,-0.012804097,0.008948546
"E01016077","Medway 003D","E06000035","Medway",1625,334,245,261,440,345,1604,325,247,260,443,329,-0.012923077,-0.026946108,0.008163265,-0.003831418,0.006818182,-0.046376812
"E01016143","Medway 003E","E06000035","Medway",2573,624,435,556,673,285,2579,612,426,563,685,293,0.002331908,-0.019230769,-0.020689655,0.012589928,0.017830609,0.028070175
"E01016146","Medway 004A","E06000035","Medway",2752,554,503,529,715,451,2750,546,508,528,717,451,-0.000726744,-0.014440433,0.009940358,-0.001890359,0.002797203,0
"E01016147","Medway 004B","E06000035","Medway",1936,382,259,369,531,395,1931,390,252,366,527,396,-0.002582645,0.020942408,-0.027027027,-0.008130081,-0.007532957,0.002531646
"E01016148","Medway 004C","E06000035","Medway",2037,399,283,392,599,364,1972,368,287,379,578,360,-0.031909671,-0.077694236,0.014134276,-0.033163265,-0.035058431,-0.010989011
"E01016133","Medway 005A","E06000035","Medway",1358,180,213,189,411,365,1358,180,212,187,415,364,0,0,-0.004694836,-0.010582011,0.00973236,-0.002739726
