"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01025191","Pendle 001A","E07000122","Pendle",1261,197,180,242,366,276,1310,219,195,240,393,263,0.038858049,0.111675127,0.083333333,-0.008264463,0.073770492,-0.047101449
"E01025192","Pendle 001B","E07000122","Pendle",1457,293,257,332,353,222,1447,298,253,323,343,230,-0.006863418,0.017064846,-0.015564202,-0.027108434,-0.028328612,0.036036036
"E01025193","Pendle 001C","E07000122","Pendle",1323,207,183,195,395,343,1287,203,171,192,391,330,-0.027210884,-0.019323671,-0.06557377,-0.015384615,-0.010126582,-0.037900875
"E01025194","Pendle 001D","E07000122","Pendle",1430,304,239,333,342,212,1354,284,239,317,319,195,-0.053146853,-0.065789474,0,-0.048048048,-0.067251462,-0.080188679
"E01025195","Pendle 002A","E07000122","Pendle",1204,191,165,214,367,267,1184,188,169,208,359,260,-0.016611296,-0.015706806,0.024242424,-0.028037383,-0.021798365,-0.026217228
"E01025196","Pendle 002B","E07000122","Pendle",1577,239,297,365,420,256,1562,253,297,366,404,242,-0.009511731,0.058577406,0,0.002739726,-0.038095238,-0.0546875
"E01025197","Pendle 002C","E07000122","Pendle",1318,190,159,226,386,357,1305,186,148,221,387,363,-0.009863429,-0.021052632,-0.06918239,-0.022123894,0.002590674,0.016806723
"E01025198","Pendle 002D","E07000122","Pendle",1375,268,218,266,323,300,1468,283,227,277,339,342,0.067636364,0.055970149,0.041284404,0.041353383,0.049535604,0.14
"E01025199","Pendle 003A","E07000122","Pendle",1602,254,218,263,499,368,1661,291,221,279,489,381,0.036828964,0.145669291,0.013761468,0.060836502,-0.02004008,0.035326087
"E01025200","Pendle 003B","E07000122","Pendle",1494,291,198,264,435,306,1498,302,194,259,451,292,0.002677376,0.037800687,-0.02020202,-0.018939394,0.036781609,-0.045751634
"E01025201","Pendle 003C","E07000122","Pendle",1601,283,259,270,450,339,1594,273,267,265,453,336,-0.004372267,-0.035335689,0.030888031,-0.018518519,0.006666667,-0.008849558
"E01025202","Pendle 003D","E07000122","Pendle",1382,237,175,224,437,309,1374,237,165,234,426,312,-0.005788712,0,-0.057142857,0.044642857,-0.025171625,0.009708738
"E01025205","Pendle 004A","E07000122","Pendle",1334,315,248,288,347,136,1388,327,255,289,365,152,0.04047976,0.038095238,0.028225806,0.003472222,0.051873199,0.117647059
"E01025206","Pendle 004B","E07000122","Pendle",1172,161,152,165,359,335,1170,152,155,143,371,349,-0.001706485,-0.055900621,0.019736842,-0.133333333,0.033426184,0.041791045
"E01025207","Pendle 004C","E07000122","Pendle",1253,208,248,233,327,237,1177,181,226,228,305,237,-0.060654429,-0.129807692,-0.088709677,-0.021459227,-0.067278287,0
"E01025208","Pendle 004D","E07000122","Pendle",1235,184,167,197,347,340,1242,175,167,200,357,343,0.005668016,-0.048913043,0,0.015228426,0.028818444,0.008823529
"E01025220","Pendle 005A","E07000122","Pendle",1642,477,295,353,316,201,1672,481,305,352,332,202,0.018270402,0.008385744,0.033898305,-0.002832861,0.050632911,0.004975124
"E01025221","Pendle 005B","E07000122","Pendle",1336,321,269,262,312,172,1348,324,267,262,310,185,0.008982036,0.009345794,-0.007434944,0,-0.006410256,0.075581395
"E01025222","Pendle 005C","E07000122","Pendle",1484,249,222,243,443,327,1510,250,216,241,471,332,0.017520216,0.004016064,-0.027027027,-0.008230453,0.063205418,0.01529052
"E01025223","Pendle 005D","E07000122","Pendle",1445,300,250,247,335,313,1459,304,256,251,331,317,0.009688581,0.013333333,0.024,0.016194332,-0.011940299,0.012779553
"E01025178","Pendle 006A","E07000122","Pendle",1784,278,209,297,569,431,1818,294,229,307,575,413,0.019058296,0.057553957,0.09569378,0.033670034,0.010544815,-0.041763341
"E01025179","Pendle 006B","E07000122","Pendle",1518,234,228,288,439,329,1533,232,223,303,440,335,0.009881423,-0.008547009,-0.021929825,0.052083333,0.002277904,0.018237082
"E01025180","Pendle 006C","E07000122","Pendle",1847,314,217,323,638,355,1865,315,220,318,649,363,0.009745533,0.003184713,0.013824885,-0.015479876,0.017241379,0.022535211
"E01025203","Pendle 006D","E07000122","Pendle",1674,236,205,241,561,431,1611,214,203,231,542,421,-0.037634409,-0.093220339,-0.009756098,-0.041493776,-0.033868093,-0.023201856
"E01025226","Pendle 007A","E07000122","Pendle",1513,284,260,330,419,220,1532,290,266,334,421,221,0.012557832,0.021126761,0.023076923,0.012121212,0.00477327,0.004545455
"E01025227","Pendle 007B","E07000122","Pendle",2035,411,427,385,484,328,2013,419,424,373,474,323,-0.010810811,0.01946472,-0.007025761,-0.031168831,-0.020661157,-0.015243902
"E01025228","Pendle 007C","E07000122","Pendle",1533,251,218,259,477,328,1509,258,219,254,464,314,-0.015655577,0.027888446,0.004587156,-0.019305019,-0.027253669,-0.042682927
"E01025174","Pendle 008A","E07000122","Pendle",1475,259,198,236,381,401,1450,250,193,241,384,382,-0.016949153,-0.034749035,-0.025252525,0.021186441,0.007874016,-0.047381546
"E01025175","Pendle 008B","E07000122","Pendle",1537,234,188,269,433,413,1540,233,198,264,432,413,0.001951854,-0.004273504,0.053191489,-0.018587361,-0.002309469,0
"E01025176","Pendle 008C","E07000122","Pendle",2087,371,340,449,545,382,2047,375,334,440,521,377,-0.019166267,0.010781671,-0.017647059,-0.020044543,-0.044036697,-0.013089005
"E01025177","Pendle 008D","E07000122","Pendle",1700,239,156,278,537,490,1732,246,161,286,549,490,0.018823529,0.029288703,0.032051282,0.028776978,0.022346369,0
"E01025204","Pendle 008E","E07000122","Pendle",1710,219,203,228,614,446,1692,219,205,224,606,438,-0.010526316,0,0.009852217,-0.01754386,-0.013029316,-0.01793722
"E01025211","Pendle 008F","E07000122","Pendle",1390,211,129,233,390,427,1412,220,138,233,384,437,0.015827338,0.042654028,0.069767442,0,-0.015384615,0.023419204
"E01025181","Pendle 009A","E07000122","Pendle",1543,427,223,317,330,246,1523,414,214,311,333,251,-0.012961763,-0.030444965,-0.040358744,-0.018927445,0.009090909,0.020325203
"E01025182","Pendle 009B","E07000122","Pendle",1625,433,323,351,325,193,1597,422,324,346,320,185,-0.017230769,-0.025404157,0.003095975,-0.014245014,-0.015384615,-0.041450777
"E01025183","Pendle 009C","E07000122","Pendle",1678,430,314,352,363,219,1692,413,326,358,373,222,0.008343266,-0.039534884,0.038216561,0.017045455,0.027548209,0.01369863
"E01025184","Pendle 009D","E07000122","Pendle",1818,559,403,437,300,119,1815,554,402,438,302,119,-0.001650165,-0.008944544,-0.00248139,0.00228833,0.006666667,0
"E01025188","Pendle 010A","E07000122","Pendle",2112,536,354,470,428,324,2107,536,352,459,438,322,-0.002367424,0,-0.005649718,-0.023404255,0.023364486,-0.00617284
"E01025189","Pendle 010B","E07000122","Pendle",1651,425,309,369,372,176,1643,405,309,368,383,178,-0.004845548,-0.047058824,0,-0.002710027,0.029569892,0.011363636
"E01025210","Pendle 010C","E07000122","Pendle",1886,451,352,392,446,245,1875,458,347,394,435,241,-0.00583245,0.015521064,-0.014204545,0.005102041,-0.024663677,-0.016326531
"E01025217","Pendle 010D","E07000122","Pendle",1544,419,305,346,291,183,1549,432,308,337,285,187,0.003238342,0.031026253,0.009836066,-0.026011561,-0.020618557,0.021857923
"E01025218","Pendle 010E","E07000122","Pendle",1367,355,258,304,292,158,1319,344,251,298,270,156,-0.035113387,-0.030985915,-0.027131783,-0.019736842,-0.075342466,-0.012658228
"E01025219","Pendle 010F","E07000122","Pendle",1345,337,300,291,291,126,1350,339,299,298,293,121,0.003717472,0.005934718,-0.003333333,0.024054983,0.006872852,-0.03968254
"E01025224","Pendle 011A","E07000122","Pendle",2242,667,393,554,384,244,2200,635,400,558,368,239,-0.018733274,-0.047976012,0.017811705,0.007220217,-0.041666667,-0.020491803
"E01025225","Pendle 011B","E07000122","Pendle",1690,390,297,352,372,279,1687,384,313,353,367,270,-0.001775148,-0.015384615,0.053872054,0.002840909,-0.01344086,-0.032258065
"E01025229","Pendle 011C","E07000122","Pendle",2318,713,478,540,369,218,2312,709,482,530,371,220,-0.002588438,-0.005610098,0.008368201,-0.018518519,0.005420054,0.009174312
"E01025230","Pendle 011D","E07000122","Pendle",1823,543,385,419,341,135,1860,567,379,428,342,144,0.020296215,0.044198895,-0.015584416,0.021479714,0.002932551,0.066666667
"E01025187","Pendle 012A","E07000122","Pendle",1474,315,220,227,355,357,1614,335,239,255,376,409,0.094979647,0.063492063,0.086363636,0.123348018,0.05915493,0.145658263
"E01025190","Pendle 012B","E07000122","Pendle",1681,334,271,311,417,348,1538,308,255,281,384,310,-0.085068412,-0.077844311,-0.05904059,-0.096463023,-0.079136691,-0.109195402
"E01025209","Pendle 012C","E07000122","Pendle",1735,397,242,300,405,391,1673,371,233,281,413,375,-0.03573487,-0.065491184,-0.037190083,-0.063333333,0.019753086,-0.040920716
"E01025216","Pendle 012D","E07000122","Pendle",2145,530,348,437,487,343,2235,543,351,465,508,368,0.041958042,0.024528302,0.00862069,0.064073227,0.04312115,0.072886297
"E01025185","Pendle 013A","E07000122","Pendle",2082,532,354,388,429,379,2088,537,350,388,439,374,0.002881844,0.009398496,-0.011299435,0,0.023310023,-0.013192612
"E01025186","Pendle 013B","E07000122","Pendle",1725,434,325,375,400,191,1709,423,328,371,398,189,-0.009275362,-0.025345622,0.009230769,-0.010666667,-0.005,-0.010471204
"E01025212","Pendle 013C","E07000122","Pendle",1405,273,215,220,329,368,1344,272,202,210,315,345,-0.04341637,-0.003663004,-0.060465116,-0.045454545,-0.042553191,-0.0625
"E01025213","Pendle 013D","E07000122","Pendle",1195,263,190,275,259,208,1176,277,192,257,252,198,-0.015899582,0.053231939,0.010526316,-0.065454545,-0.027027027,-0.048076923
"E01025214","Pendle 013E","E07000122","Pendle",1355,215,184,208,444,304,1423,232,183,207,457,344,0.050184502,0.079069767,-0.005434783,-0.004807692,0.029279279,0.131578947
"E01025215","Pendle 013F","E07000122","Pendle",1421,399,274,284,283,181,1422,388,277,299,279,179,0.00070373,-0.027568922,0.010948905,0.052816901,-0.014134276,-0.011049724
