"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01028189","Gedling 001A","E07000173","Gedling",2305,417,392,373,678,445,2364,423,394,388,686,473,0.025596529,0.014388489,0.005102041,0.040214477,0.01179941,0.062921348
"E01028198","Gedling 001B","E07000173","Gedling",1357,186,110,182,420,459,1361,193,115,180,424,449,0.002947679,0.037634409,0.045454545,-0.010989011,0.00952381,-0.021786492
"E01028199","Gedling 001C","E07000173","Gedling",1424,179,103,198,391,553,1445,178,110,198,389,570,0.014747191,-0.005586592,0.067961165,0,-0.00511509,0.03074141
"E01028200","Gedling 001D","E07000173","Gedling",1747,291,184,314,535,423,1713,296,179,318,517,403,-0.019461935,0.017182131,-0.027173913,0.012738854,-0.03364486,-0.047281324
"E01028201","Gedling 001E","E07000173","Gedling",1140,177,109,163,355,336,1150,186,111,151,354,348,0.00877193,0.050847458,0.018348624,-0.073619632,-0.002816901,0.035714286
"E01028150","Gedling 002A","E07000173","Gedling",1346,165,162,181,427,411,1349,172,160,184,425,408,0.002228826,0.042424242,-0.012345679,0.016574586,-0.004683841,-0.00729927
"E01028151","Gedling 002B","E07000173","Gedling",1154,174,140,197,335,308,1145,175,136,195,325,314,-0.00779896,0.005747126,-0.028571429,-0.010152284,-0.029850746,0.019480519
"E01028152","Gedling 002C","E07000173","Gedling",1870,367,271,393,485,354,1872,351,277,408,489,347,0.001069519,-0.04359673,0.022140221,0.038167939,0.008247423,-0.019774011
"E01028153","Gedling 002D","E07000173","Gedling",1324,283,197,238,368,238,1331,276,200,239,368,248,0.005287009,-0.024734982,0.015228426,0.004201681,0,0.042016807
"E01028154","Gedling 002E","E07000173","Gedling",1776,348,339,388,476,225,1806,357,349,404,470,226,0.016891892,0.025862069,0.029498525,0.041237113,-0.012605042,0.004444444
"E01028213","Gedling 002F","E07000173","Gedling",1894,263,182,284,558,607,1882,262,182,282,555,601,-0.006335797,-0.003802281,0,-0.007042254,-0.005376344,-0.009884679
"E01028143","Gedling 004A","E07000173","Gedling",1236,231,157,233,349,266,1242,228,155,237,353,269,0.004854369,-0.012987013,-0.012738854,0.017167382,0.011461318,0.011278195
"E01028205","Gedling 004B","E07000173","Gedling",1667,348,275,314,457,273,1687,360,279,312,456,280,0.0119976,0.034482759,0.014545455,-0.006369427,-0.002188184,0.025641026
"E01028206","Gedling 004C","E07000173","Gedling",1486,221,271,245,412,337,1499,225,268,254,411,341,0.008748318,0.018099548,-0.011070111,0.036734694,-0.002427184,0.011869436
"E01028207","Gedling 004D","E07000173","Gedling",1609,321,197,317,408,366,1601,319,203,310,395,374,-0.004972032,-0.00623053,0.030456853,-0.022082019,-0.031862745,0.021857923
"E01028208","Gedling 004E","E07000173","Gedling",1104,201,187,174,310,232,1053,178,179,153,313,230,-0.046195652,-0.114427861,-0.042780749,-0.120689655,0.009677419,-0.00862069
"E01028173","Gedling 005A","E07000173","Gedling",1030,255,183,201,224,167,1012,255,182,184,225,166,-0.017475728,0,-0.005464481,-0.084577114,0.004464286,-0.005988024
"E01028174","Gedling 005B","E07000173","Gedling",1696,461,281,330,376,248,1719,464,281,346,386,242,0.013561321,0.006507592,0,0.048484848,0.026595745,-0.024193548
"E01028175","Gedling 005C","E07000173","Gedling",1817,314,263,371,500,369,1760,305,260,351,478,366,-0.031370391,-0.02866242,-0.011406844,-0.053908356,-0.044,-0.008130081
"E01028209","Gedling 005D","E07000173","Gedling",1467,322,302,251,369,223,1470,314,297,255,376,228,0.00204499,-0.02484472,-0.016556291,0.015936255,0.01897019,0.022421525
"E01028144","Gedling 006A","E07000173","Gedling",1579,308,280,314,380,297,1594,306,285,322,381,300,0.009499683,-0.006493506,0.017857143,0.025477707,0.002631579,0.01010101
"E01028165","Gedling 006B","E07000173","Gedling",1504,277,255,278,353,341,1498,278,248,282,357,333,-0.003989362,0.003610108,-0.02745098,0.014388489,0.011331445,-0.023460411
"E01028166","Gedling 006C","E07000173","Gedling",1705,330,298,395,407,275,1845,352,317,432,450,294,0.082111437,0.066666667,0.063758389,0.093670886,0.105651106,0.069090909
"E01028167","Gedling 006D","E07000173","Gedling",1890,405,427,385,460,213,1941,412,443,398,479,209,0.026984127,0.017283951,0.037470726,0.033766234,0.041304348,-0.018779343
