"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01014601","Bristol 001A","E06000023","Bristol, City of",1705,361,225,345,377,397,1778,368,241,366,398,405,0.042815249,0.019390582,0.071111111,0.060869565,0.055702918,0.020151134
"E01014602","Bristol 001B","E06000023","Bristol, City of",1966,475,412,405,421,253,2013,513,419,419,417,245,0.023906409,0.08,0.016990291,0.034567901,-0.009501188,-0.031620553
"E01014603","Bristol 001C","E06000023","Bristol, City of",2304,482,464,523,550,285,2202,459,451,497,509,286,-0.044270833,-0.047717842,-0.028017241,-0.049713193,-0.074545455,0.003508772
"E01014605","Bristol 001E","E06000023","Bristol, City of",1758,396,329,327,395,311,1744,385,327,330,396,306,-0.007963595,-0.027777778,-0.006079027,0.009174312,0.002531646,-0.01607717
"E01032516","Bristol 001G","E06000023","Bristol, City of",1916,324,325,383,469,415,1901,323,313,370,475,420,-0.00782881,-0.00308642,-0.036923077,-0.033942559,0.012793177,0.012048193
"E01032517","Bristol 001H","E06000023","Bristol, City of",1603,342,337,345,340,239,1631,348,339,356,341,247,0.017467249,0.01754386,0.005934718,0.031884058,0.002941176,0.033472803
"E01014688","Bristol 002A","E06000023","Bristol, City of",1796,516,385,358,340,197,1792,491,403,339,340,219,-0.002227171,-0.048449612,0.046753247,-0.053072626,0,0.111675127
"E01014689","Bristol 002B","E06000023","Bristol, City of",1649,457,331,316,367,178,1675,475,328,328,373,171,0.015767132,0.039387309,-0.009063444,0.037974684,0.016348774,-0.039325843
"E01014690","Bristol 002C","E06000023","Bristol, City of",2147,530,442,500,439,236,2132,523,435,491,435,248,-0.006986493,-0.013207547,-0.015837104,-0.018,-0.009111617,0.050847458
"E01014691","Bristol 002D","E06000023","Bristol, City of",1958,415,322,367,370,484,1928,409,307,370,370,472,-0.015321757,-0.014457831,-0.046583851,0.008174387,0,-0.024793388
"E01014692","Bristol 002E","E06000023","Bristol, City of",1699,420,373,380,349,177,1726,423,385,392,358,168,0.015891701,0.007142857,0.032171582,0.031578947,0.025787966,-0.050847458
"E01014693","Bristol 002F","E06000023","Bristol, City of",1279,196,189,246,338,310,1275,188,192,245,336,314,-0.003127443,-0.040816327,0.015873016,-0.004065041,-0.00591716,0.012903226
"E01014694","Bristol 002G","E06000023","Bristol, City of",1683,333,301,348,433,268,1700,341,318,348,422,271,0.01010101,0.024024024,0.056478405,0,-0.025404157,0.01119403
"E01014497","Bristol 003A","E06000023","Bristol, City of",1651,385,349,364,321,232,1648,391,343,365,317,232,-0.001817081,0.015584416,-0.017191977,0.002747253,-0.012461059,0
"E01014498","Bristol 003B","E06000023","Bristol, City of",1655,458,327,335,332,203,1668,458,328,341,331,210,0.007854985,0,0.003058104,0.017910448,-0.003012048,0.034482759
"E01014638","Bristol 003C","E06000023","Bristol, City of",1703,357,380,314,370,282,1746,376,379,316,372,303,0.02524956,0.053221289,-0.002631579,0.006369427,0.005405405,0.074468085
"E01014639","Bristol 003D","E06000023","Bristol, City of",1596,526,330,309,281,150,1570,504,328,300,286,152,-0.016290727,-0.041825095,-0.006060606,-0.029126214,0.017793594,0.013333333
"E01014640","Bristol 003E","E06000023","Bristol, City of",1543,363,319,317,333,211,1541,376,320,324,323,198,-0.001296176,0.035812672,0.003134796,0.022082019,-0.03003003,-0.061611374
"E01014631","Bristol 004A","E06000023","Bristol, City of",1247,210,223,238,315,261,1233,202,229,231,309,262,-0.011226945,-0.038095238,0.02690583,-0.029411765,-0.019047619,0.003831418
"E01014632","Bristol 004B","E06000023","Bristol, City of",2089,381,576,499,379,254,2141,391,603,508,387,252,0.024892293,0.026246719,0.046875,0.018036072,0.021108179,-0.007874016
"E01014633","Bristol 004C","E06000023","Bristol, City of",1800,398,356,399,391,256,1824,397,375,404,398,250,0.013333333,-0.002512563,0.053370787,0.012531328,0.017902813,-0.0234375
"E01014636","Bristol 004D","E06000023","Bristol, City of",1581,395,301,327,352,206,1559,376,308,329,348,198,-0.013915244,-0.048101266,0.023255814,0.006116208,-0.011363636,-0.038834951
"E01014630","Bristol 005A","E06000023","Bristol, City of",2317,446,732,502,414,223,2381,465,753,514,417,232,0.027621925,0.042600897,0.028688525,0.023904382,0.007246377,0.040358744
"E01014634","Bristol 005B","E06000023","Bristol, City of",1825,204,751,431,266,173,1838,199,765,436,260,178,0.007123288,-0.024509804,0.018641811,0.011600928,-0.022556391,0.028901734
"E01014659","Bristol 005C","E06000023","Bristol, City of",2337,487,711,556,395,188,2300,467,712,554,388,179,-0.015832264,-0.041067762,0.00140647,-0.003597122,-0.017721519,-0.04787234
"E01014661","Bristol 005D","E06000023","Bristol, City of",1699,384,397,368,341,209,1708,383,394,361,346,224,0.005297234,-0.002604167,-0.007556675,-0.019021739,0.014662757,0.071770335
"E01014616","Bristol 006A","E06000023","Bristol, City of",1524,315,173,272,325,439,1497,308,168,268,316,437,-0.017716535,-0.022222222,-0.028901734,-0.014705882,-0.027692308,-0.004555809
"E01014719","Bristol 006B","E06000023","Bristol, City of",1349,257,204,307,334,247,1355,273,202,303,324,253,0.004447739,0.062256809,-0.009803922,-0.013029316,-0.02994012,0.024291498
"E01014720","Bristol 006C","E06000023","Bristol, City of",1584,318,175,354,356,381,1619,323,167,380,360,389,0.02209596,0.01572327,-0.045714286,0.073446328,0.011235955,0.020997375
"E01014721","Bristol 006D","E06000023","Bristol, City of",1593,304,125,329,386,449,1618,299,140,330,396,453,0.01569366,-0.016447368,0.12,0.003039514,0.025906736,0.008908686
