"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01030506","Mole Valley 001A","E07000210","Mole Valley",1330,272,157,235,405,261,1336,273,153,249,409,252,0.004511278,0.003676471,-0.025477707,0.059574468,0.009876543,-0.034482759
"E01030508","Mole Valley 001B","E07000210","Mole Valley",1336,249,191,140,415,341,1364,248,201,139,434,342,0.020958084,-0.004016064,0.052356021,-0.007142857,0.045783133,0.002932551
"E01030509","Mole Valley 001C","E07000210","Mole Valley",1162,197,132,204,324,305,1186,192,132,223,327,312,0.020654045,-0.025380711,0,0.093137255,0.009259259,0.02295082
"E01030513","Mole Valley 001D","E07000210","Mole Valley",1314,265,168,232,354,295,1364,279,180,234,375,296,0.03805175,0.052830189,0.071428571,0.00862069,0.059322034,0.003389831
"E01030514","Mole Valley 001E","E07000210","Mole Valley",1442,281,156,217,427,361,1451,279,154,224,422,372,0.006241331,-0.007117438,-0.012820513,0.032258065,-0.011709602,0.030470914
"E01030505","Mole Valley 002A","E07000210","Mole Valley",1530,296,198,295,457,284,1560,288,206,311,458,297,0.019607843,-0.027027027,0.04040404,0.054237288,0.002188184,0.045774648
"E01030507","Mole Valley 002B","E07000210","Mole Valley",1294,265,134,228,415,252,1293,256,133,234,422,248,-0.000772798,-0.033962264,-0.007462687,0.026315789,0.01686747,-0.015873016
"E01030511","Mole Valley 002C","E07000210","Mole Valley",1635,361,149,221,512,392,1686,372,159,234,523,398,0.031192661,0.030470914,0.067114094,0.058823529,0.021484375,0.015306122
"E01030512","Mole Valley 002D","E07000210","Mole Valley",1557,305,120,253,424,455,1599,310,141,264,424,460,0.026974952,0.016393443,0.175,0.043478261,0,0.010989011
"E01030548","Mole Valley 003A","E07000210","Mole Valley",1979,455,371,507,458,188,2016,449,389,526,472,180,0.018696311,-0.013186813,0.04851752,0.037475345,0.030567686,-0.042553191
"E01030549","Mole Valley 003B","E07000210","Mole Valley",1813,372,317,475,411,238,1825,362,324,486,422,231,0.006618864,-0.02688172,0.022082019,0.023157895,0.02676399,-0.029411765
"E01030550","Mole Valley 003C","E07000210","Mole Valley",1896,318,277,479,452,370,1901,326,278,487,444,366,0.002637131,0.025157233,0.003610108,0.016701461,-0.017699115,-0.010810811
"E01030551","Mole Valley 003D","E07000210","Mole Valley",1600,366,281,305,407,241,1623,377,289,311,408,238,0.014375,0.030054645,0.028469751,0.019672131,0.002457002,-0.012448133
"E01030510","Mole Valley 004A","E07000210","Mole Valley",1807,366,212,267,516,446,1815,359,214,279,522,441,0.004427227,-0.019125683,0.009433962,0.04494382,0.011627907,-0.011210762
"E01030552","Mole Valley 004B","E07000210","Mole Valley",1428,227,276,351,310,264,1519,252,286,382,314,285,0.06372549,0.110132159,0.036231884,0.088319088,0.012903226,0.079545455
"E01030553","Mole Valley 004C","E07000210","Mole Valley",1828,255,224,252,555,542,1826,248,224,255,560,539,-0.001094092,-0.02745098,0,0.011904762,0.009009009,-0.005535055
"E01030554","Mole Valley 004D","E07000210","Mole Valley",1123,197,116,125,360,325,1123,186,112,128,365,332,0,-0.055837563,-0.034482759,0.024,0.013888889,0.021538462
"E01030539","Mole Valley 005A","E07000210","Mole Valley",1677,309,275,276,485,332,1737,320,295,289,494,339,0.035778175,0.035598706,0.072727273,0.047101449,0.018556701,0.021084337
"E01030540","Mole Valley 005B","E07000210","Mole Valley",2035,294,234,174,637,696,2034,273,248,180,641,692,-0.0004914,-0.071428571,0.05982906,0.034482759,0.006279435,-0.005747126
"E01030541","Mole Valley 005C","E07000210","Mole Valley",1369,233,167,161,439,369,1361,232,167,168,431,363,-0.005843682,-0.004291845,0,0.043478261,-0.018223235,-0.016260163
"E01030542","Mole Valley 005D","E07000210","Mole Valley",1321,286,170,218,380,267,1326,300,166,223,380,257,0.003785011,0.048951049,-0.023529412,0.02293578,0,-0.037453184
"E01030543","Mole Valley 005E","E07000210","Mole Valley",1552,307,236,258,462,289,1605,321,251,270,467,296,0.034149485,0.045602606,0.063559322,0.046511628,0.010822511,0.024221453
"E01030516","Mole Valley 006A","E07000210","Mole Valley",1282,208,169,169,323,413,1281,214,162,171,324,410,-0.000780031,0.028846154,-0.041420118,0.01183432,0.003095975,-0.007263923
"E01030517","Mole Valley 006B","E07000210","Mole Valley",1501,244,156,188,479,434,1530,251,161,201,495,422,0.019320453,0.028688525,0.032051282,0.069148936,0.033402923,-0.02764977
"E01030518","Mole Valley 006C","E07000210","Mole Valley",1381,240,133,153,375,480,1410,231,138,161,388,492,0.020999276,-0.0375,0.037593985,0.052287582,0.034666667,0.025
