"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01021022","Lewes 001A","E07000063","Lewes",2179,418,256,352,658,495,2177,428,258,365,634,492,-0.000917852,0.023923445,0.0078125,0.036931818,-0.036474164,-0.006060606
"E01021024","Lewes 001B","E07000063","Lewes",1208,245,159,196,384,224,1217,241,170,185,394,227,0.007450331,-0.016326531,0.06918239,-0.056122449,0.026041667,0.013392857
"E01021025","Lewes 001C","E07000063","Lewes",1932,415,257,289,629,342,1984,422,257,297,649,359,0.026915114,0.01686747,0,0.027681661,0.031796502,0.049707602
"E01021052","Lewes 001D","E07000063","Lewes",1248,202,141,173,350,382,1294,208,147,183,366,390,0.036858974,0.02970297,0.042553191,0.057803468,0.045714286,0.020942408
"E01021053","Lewes 001E","E07000063","Lewes",1242,222,179,183,327,331,1225,224,169,176,326,330,-0.013687601,0.009009009,-0.055865922,-0.038251366,-0.003058104,-0.003021148
"E01021023","Lewes 002A","E07000063","Lewes",2240,421,340,380,709,390,2197,411,334,374,689,389,-0.019196429,-0.023752969,-0.017647059,-0.015789474,-0.028208745,-0.002564103
"E01021026","Lewes 002B","E07000063","Lewes",2537,386,217,282,620,1032,2540,384,213,289,612,1042,0.001182499,-0.005181347,-0.01843318,0.024822695,-0.012903226,0.009689922
"E01021032","Lewes 002C","E07000063","Lewes",2134,338,310,252,669,565,2165,347,315,253,692,558,0.01452671,0.026627219,0.016129032,0.003968254,0.034379671,-0.012389381
"E01021067","Lewes 002D","E07000063","Lewes",1131,153,161,165,416,236,1122,148,158,157,411,248,-0.00795756,-0.032679739,-0.01863354,-0.048484848,-0.012019231,0.050847458
"E01021068","Lewes 002E","E07000063","Lewes",1288,167,326,171,405,219,1250,156,316,167,399,212,-0.029503106,-0.065868263,-0.030674847,-0.023391813,-0.014814815,-0.03196347
"E01021033","Lewes 003A","E07000063","Lewes",1882,362,246,350,568,356,1907,361,252,350,585,359,0.013283741,-0.002762431,0.024390244,0,0.029929577,0.008426966
"E01021034","Lewes 003B","E07000063","Lewes",1392,304,217,278,400,193,1390,300,216,274,397,203,-0.001436782,-0.013157895,-0.004608295,-0.014388489,-0.0075,0.051813472
"E01021035","Lewes 003C","E07000063","Lewes",1751,214,274,377,491,395,1798,215,285,398,498,402,0.026841805,0.004672897,0.040145985,0.055702918,0.014256619,0.017721519
"E01021036","Lewes 003D","E07000063","Lewes",1496,279,188,186,501,342,1478,274,185,193,495,331,-0.012032086,-0.017921147,-0.015957447,0.037634409,-0.011976048,-0.032163743
"E01021037","Lewes 003E","E07000063","Lewes",1622,385,281,332,419,205,1670,386,286,335,444,219,0.029593095,0.002597403,0.017793594,0.009036145,0.059665871,0.068292683
