"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01019268","Copeland 001A","E07000029","Copeland",1085,126,139,164,327,329,1090,117,120,176,344,333,0.004608295,-0.071428571,-0.136690647,0.073170732,0.051987768,0.012158055
"E01019269","Copeland 001B","E07000029","Copeland",1559,306,257,258,408,330,1581,307,266,272,404,332,0.01411161,0.003267974,0.035019455,0.054263566,-0.009803922,0.006060606
"E01019270","Copeland 001C","E07000029","Copeland",1291,237,209,229,388,228,1280,218,208,240,373,241,-0.008520527,-0.080168776,-0.004784689,0.048034934,-0.038659794,0.057017544
"E01019297","Copeland 001D","E07000029","Copeland",1195,186,188,193,366,262,1257,184,202,193,397,281,0.051882845,-0.010752688,0.074468085,0,0.084699454,0.072519084
"E01019260","Copeland 002A","E07000029","Copeland",1514,288,254,307,425,240,1501,288,252,298,430,233,-0.008586526,0,-0.007874016,-0.029315961,0.011764706,-0.029166667
"E01019280","Copeland 002B","E07000029","Copeland",1450,79,179,245,503,444,1446,76,166,254,503,447,-0.002758621,-0.037974684,-0.072625698,0.036734694,0,0.006756757
"E01019281","Copeland 002C","E07000029","Copeland",1212,161,198,177,320,356,1208,154,216,183,313,342,-0.00330033,-0.043478261,0.090909091,0.033898305,-0.021875,-0.039325843
"E01019282","Copeland 002D","E07000029","Copeland",1197,205,172,215,394,211,1192,212,174,213,400,193,-0.004177109,0.034146341,0.011627907,-0.009302326,0.015228426,-0.085308057
"E01019261","Copeland 003A","E07000029","Copeland",1895,324,279,295,638,359,1845,323,268,293,609,352,-0.026385224,-0.00308642,-0.039426523,-0.006779661,-0.045454545,-0.019498607
"E01019262","Copeland 003B","E07000029","Copeland",1732,286,211,349,565,321,1729,283,214,349,565,318,-0.001732102,-0.01048951,0.014218009,0,0,-0.009345794
"E01019284","Copeland 003C","E07000029","Copeland",1219,202,207,201,300,309,1221,208,212,202,294,305,0.001640689,0.02970297,0.024154589,0.004975124,-0.02,-0.012944984
"E01019285","Copeland 003D","E07000029","Copeland",1457,332,299,256,408,162,1493,341,300,260,409,183,0.024708305,0.027108434,0.003344482,0.015625,0.00245098,0.12962963
"E01019286","Copeland 003E","E07000029","Copeland",1274,177,187,216,354,340,1243,166,188,209,341,339,-0.02433281,-0.062146893,0.005347594,-0.032407407,-0.036723164,-0.002941176
"E01019287","Copeland 003F","E07000029","Copeland",1155,185,135,183,333,319,1158,183,132,191,335,317,0.002597403,-0.010810811,-0.022222222,0.043715847,0.006006006,-0.006269592
"E01019288","Copeland 003G","E07000029","Copeland",1429,278,214,286,388,263,1487,290,237,294,412,254,0.040587824,0.043165468,0.107476636,0.027972028,0.06185567,-0.034220532
"E01019256","Copeland 004A","E07000029","Copeland",1488,196,207,246,523,316,1427,191,201,239,506,290,-0.040994624,-0.025510204,-0.028985507,-0.028455285,-0.03250478,-0.082278481
"E01019263","Copeland 004B","E07000029","Copeland",1107,189,207,208,298,205,1108,190,208,212,295,203,0.000903342,0.005291005,0.004830918,0.019230769,-0.010067114,-0.009756098
"E01019264","Copeland 004C","E07000029","Copeland",1700,300,318,285,498,299,1687,296,315,293,477,306,-0.007647059,-0.013333333,-0.009433962,0.028070175,-0.042168675,0.023411371
"E01019265","Copeland 004D","E07000029","Copeland",1287,150,209,190,411,327,1277,147,214,187,406,323,-0.007770008,-0.02,0.023923445,-0.015789474,-0.01216545,-0.012232416
"E01019266","Copeland 004E","E07000029","Copeland",1371,196,258,213,468,236,1366,191,265,209,466,235,-0.003646973,-0.025510204,0.027131783,-0.018779343,-0.004273504,-0.004237288
"E01019267","Copeland 004F","E07000029","Copeland",1295,256,211,208,341,279,1286,241,205,203,344,293,-0.006949807,-0.05859375,-0.028436019,-0.024038462,0.008797654,0.050179211
"E01019276","Copeland 004G","E07000029","Copeland",964,130,92,112,410,220,959,129,77,122,397,234,-0.005186722,-0.007692308,-0.163043478,0.089285714,-0.031707317,0.063636364
"E01019277","Copeland 004H","E07000029","Copeland",1250,249,201,199,318,283,1270,262,221,200,316,271,0.016,0.052208835,0.099502488,0.005025126,-0.006289308,-0.042402827
"E01019278","Copeland 004I","E07000029","Copeland",1386,230,239,234,422,261,1360,221,218,227,426,268,-0.018759019,-0.039130435,-0.087866109,-0.02991453,0.009478673,0.026819923
"E01019291","Copeland 005A","E07000029","Copeland",1440,321,240,293,381,205,1434,329,240,286,378,201,-0.004166667,0.024922118,0,-0.023890785,-0.007874016,-0.019512195
"E01019292","Copeland 005B","E07000029","Copeland",1089,155,167,147,319,301,1069,151,156,151,315,296,-0.018365473,-0.025806452,-0.065868263,0.027210884,-0.012539185,-0.016611296
