"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01017433","Central Bedfordshire 001A","E06000056","Central Bedfordshire",1683,401,322,374,375,211,1695,410,320,360,384,221,0.007130125,0.02244389,-0.00621118,-0.037433155,0.024,0.047393365
"E01017434","Central Bedfordshire 001B","E06000056","Central Bedfordshire",1771,354,299,390,434,294,1734,349,292,381,436,276,-0.020892151,-0.014124294,-0.023411371,-0.023076923,0.004608295,-0.06122449
"E01017436","Central Bedfordshire 001C","E06000056","Central Bedfordshire",2589,588,372,571,752,306,2495,562,360,550,725,298,-0.036307455,-0.044217687,-0.032258065,-0.036777583,-0.035904255,-0.026143791
"E01017430","Central Bedfordshire 002A","E06000056","Central Bedfordshire",1549,317,211,314,431,276,1513,311,207,303,423,269,-0.023240801,-0.018927445,-0.018957346,-0.035031847,-0.018561485,-0.025362319
"E01017431","Central Bedfordshire 002B","E06000056","Central Bedfordshire",1691,306,263,390,461,271,1783,341,275,413,475,279,0.054405677,0.114379085,0.045627376,0.058974359,0.030368764,0.029520295
"E01017432","Central Bedfordshire 002C","E06000056","Central Bedfordshire",1475,195,188,245,450,397,1456,186,188,242,445,395,-0.012881356,-0.046153846,0,-0.012244898,-0.011111111,-0.005037783
"E01017435","Central Bedfordshire 002D","E06000056","Central Bedfordshire",1879,414,309,374,492,290,1876,415,298,373,511,279,-0.001596594,0.002415459,-0.035598706,-0.002673797,0.038617886,-0.037931034
"E01017425","Central Bedfordshire 003A","E06000056","Central Bedfordshire",1149,173,172,179,390,235,1132,178,158,173,390,233,-0.014795474,0.028901734,-0.081395349,-0.033519553,0,-0.008510638
"E01017426","Central Bedfordshire 003B","E06000056","Central Bedfordshire",1421,241,151,223,459,347,1389,237,142,216,452,342,-0.022519353,-0.01659751,-0.059602649,-0.031390135,-0.015250545,-0.014409222
"E01017427","Central Bedfordshire 003C","E06000056","Central Bedfordshire",1804,363,252,327,528,334,1793,345,239,331,540,338,-0.006097561,-0.049586777,-0.051587302,0.012232416,0.022727273,0.011976048
"E01017428","Central Bedfordshire 003D","E06000056","Central Bedfordshire",1666,316,197,305,506,342,1647,313,197,305,495,337,-0.011404562,-0.009493671,0,0,-0.02173913,-0.014619883
"E01017429","Central Bedfordshire 003E","E06000056","Central Bedfordshire",1532,276,249,302,429,276,1512,285,233,291,436,267,-0.01305483,0.032608696,-0.064257028,-0.036423841,0.016317016,-0.032608696
"E01017412","Central Bedfordshire 004A","E06000056","Central Bedfordshire",1581,263,229,220,540,329,1550,265,218,209,532,326,-0.019607843,0.007604563,-0.048034934,-0.05,-0.014814815,-0.009118541
"E01017422","Central Bedfordshire 004B","E06000056","Central Bedfordshire",1555,241,172,232,484,426,1549,248,170,217,489,425,-0.003858521,0.029045643,-0.011627907,-0.064655172,0.010330579,-0.002347418
"E01017423","Central Bedfordshire 004C","E06000056","Central Bedfordshire",1665,294,211,270,495,395,1640,291,201,270,476,402,-0.015015015,-0.010204082,-0.047393365,0,-0.038383838,0.017721519
"E01017424","Central Bedfordshire 004D","E06000056","Central Bedfordshire",1414,196,177,209,482,350,1386,184,174,203,481,344,-0.01980198,-0.06122449,-0.016949153,-0.028708134,-0.002074689,-0.017142857
"E01017383","Central Bedfordshire 005A","E06000056","Central Bedfordshire",1989,327,391,446,568,257,1926,326,377,422,563,238,-0.031674208,-0.003058104,-0.035805627,-0.053811659,-0.008802817,-0.073929961
"E01017384","Central Bedfordshire 005B","E06000056","Central Bedfordshire",1610,335,272,386,374,243,1692,347,290,397,393,265,0.050931677,0.035820896,0.066176471,0.028497409,0.050802139,0.090534979
"E01017385","Central Bedfordshire 005C","E06000056","Central Bedfordshire",1973,346,368,413,453,393,1883,317,334,406,444,382,-0.045615813,-0.083815029,-0.092391304,-0.016949153,-0.01986755,-0.027989822
"E01017386","Central Bedfordshire 005D","E06000056","Central Bedfordshire",1882,392,285,497,435,273,1848,390,277,487,426,268,-0.018065887,-0.005102041,-0.028070175,-0.020120724,-0.020689655,-0.018315018
"E01017387","Central Bedfordshire 005E","E06000056","Central Bedfordshire",1365,270,223,227,425,220,1338,271,214,222,417,214,-0.01978022,0.003703704,-0.040358744,-0.022026432,-0.018823529,-0.027272727
"E01017388","Central Bedfordshire 005F","E06000056","Central Bedfordshire",1412,255,261,275,361,260,1354,234,250,261,359,250,-0.041076487,-0.082352941,-0.042145594,-0.050909091,-0.005540166,-0.038461538
"E01017381","Central Bedfordshire 006A","E06000056","Central Bedfordshire",1512,239,219,250,410,394,1493,234,206,244,414,395,-0.012566138,-0.020920502,-0.059360731,-0.024,0.009756098,0.002538071
"E01017382","Central Bedfordshire 006B","E06000056","Central Bedfordshire",1409,272,206,240,375,316,1418,276,200,243,372,327,0.006387509,0.014705882,-0.029126214,0.0125,-0.008,0.034810127
"E01017389","Central Bedfordshire 006C","E06000056","Central Bedfordshire",3620,874,670,939,809,328,3520,855,649,900,797,319,-0.027624309,-0.02173913,-0.031343284,-0.041533546,-0.014833127,-0.027439024
"E01017390","Central Bedfordshire 006D","E06000056","Central Bedfordshire",2808,635,541,593,665,374,2837,651,529,615,685,357,0.010327635,0.02519685,-0.022181146,0.037099494,0.030075188,-0.045454545
"E01017379","Central Bedfordshire 007A","E06000056","Central Bedfordshire",1216,224,134,212,369,277,1217,229,123,209,367,289,0.000822368,0.022321429,-0.082089552,-0.014150943,-0.005420054,0.0433213
"E01017380","Central Bedfordshire 007B","E06000056","Central Bedfordshire",1300,218,155,223,408,296,1284,217,152,214,411,290,-0.012307692,-0.004587156,-0.019354839,-0.040358744,0.007352941,-0.02027027
"E01017394","Central Bedfordshire 007C","E06000056","Central Bedfordshire",1569,292,313,287,438,239,1568,288,318,294,425,243,-0.000637349,-0.01369863,0.015974441,0.024390244,-0.029680365,0.016736402
"E01017397","Central Bedfordshire 007F","E06000056","Central Bedfordshire",1786,320,308,361,471,326,1774,320,302,349,462,341,-0.006718925,0,-0.019480519,-0.033240997,-0.01910828,0.04601227
"E01033194","Central Bedfordshire 007G","E06000056","Central Bedfordshire",3060,526,1001,618,574,341,3019,507,981,611,567,353,-0.013398693,-0.036121673,-0.01998002,-0.011326861,-0.012195122,0.035190616
"E01017410","Central Bedfordshire 008A","E06000056","Central Bedfordshire",1211,184,153,145,426,303,1189,187,140,139,419,304,-0.018166804,0.016304348,-0.08496732,-0.04137931,-0.016431925,0.00330033
"E01017411","Central Bedfordshire 008B","E06000056","Central Bedfordshire",1690,319,229,305,535,302,1675,314,218,294,524,325,-0.00887574,-0.015673981,-0.048034934,-0.036065574,-0.020560748,0.07615894
"E01017419","Central Bedfordshire 008C","E06000056","Central Bedfordshire",1632,280,215,222,516,399,1686,289,212,234,526,425,0.033088235,0.032142857,-0.013953488,0.054054054,0.019379845,0.065162907
"E01017420","Central Bedfordshire 008D","E06000056","Central Bedfordshire",1686,380,231,325,463,287,1697,375,230,319,482,291,0.006524318,-0.013157895,-0.004329004,-0.018461538,0.041036717,0.013937282
