"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01005014","Bury 001A","E08000002","Bury",1475,210,221,285,412,347,1465,205,219,292,410,339,-0.006779661,-0.023809524,-0.009049774,0.024561404,-0.004854369,-0.023054755
"E01005015","Bury 001B","E08000002","Bury",1557,322,230,302,438,265,1525,310,238,294,430,253,-0.020552344,-0.037267081,0.034782609,-0.026490066,-0.01826484,-0.045283019
"E01005016","Bury 001C","E08000002","Bury",1527,243,188,362,493,241,1508,244,201,344,487,232,-0.012442698,0.004115226,0.069148936,-0.049723757,-0.012170385,-0.037344398
"E01005017","Bury 001D","E08000002","Bury",1679,356,220,348,471,284,1672,342,225,346,485,274,-0.004169148,-0.039325843,0.022727273,-0.005747126,0.029723992,-0.035211268
"E01005018","Bury 001E","E08000002","Bury",1584,302,285,340,413,244,1547,305,277,334,397,234,-0.023358586,0.009933775,-0.028070175,-0.017647059,-0.03874092,-0.040983607
"E01005021","Bury 001F","E08000002","Bury",1191,267,220,170,304,230,1213,279,220,175,306,233,0.018471872,0.04494382,0,0.029411765,0.006578947,0.013043478
"E01005019","Bury 002A","E08000002","Bury",1539,310,209,248,402,370,1513,281,201,245,409,377,-0.016894087,-0.093548387,-0.038277512,-0.012096774,0.017412935,0.018918919
"E01005023","Bury 002B","E08000002","Bury",1330,222,132,171,383,422,1322,220,125,179,384,414,-0.006015038,-0.009009009,-0.053030303,0.046783626,0.002610966,-0.018957346
"E01005046","Bury 002C","E08000002","Bury",1393,208,116,181,377,511,1397,199,124,180,377,517,0.0028715,-0.043269231,0.068965517,-0.005524862,0,0.011741683
"E01005048","Bury 002D","E08000002","Bury",1671,282,187,245,503,454,1644,277,183,239,489,456,-0.016157989,-0.017730496,-0.021390374,-0.024489796,-0.027833002,0.004405286
"E01005020","Bury 003A","E08000002","Bury",1366,251,233,210,528,144,1397,269,233,212,528,155,0.022693997,0.071713147,0,0.00952381,0,0.076388889
"E01005022","Bury 003B","E08000002","Bury",1618,294,272,270,541,241,1604,296,255,271,526,256,-0.008652658,0.006802721,-0.0625,0.003703704,-0.027726433,0.062240664
"E01005047","Bury 003C","E08000002","Bury",1418,181,166,189,462,420,1442,187,165,187,479,424,0.016925247,0.033149171,-0.006024096,-0.010582011,0.036796537,0.00952381
"E01005049","Bury 003D","E08000002","Bury",1693,267,216,312,495,403,1683,277,225,296,496,389,-0.005906675,0.037453184,0.041666667,-0.051282051,0.002020202,-0.034739454
"E01005051","Bury 003E","E08000002","Bury",1560,274,205,294,473,314,1587,287,213,299,476,312,0.017307692,0.047445255,0.03902439,0.017006803,0.006342495,-0.006369427
"E01004976","Bury 004A","E08000002","Bury",1482,279,263,250,422,268,1531,288,272,261,424,286,0.033063428,0.032258065,0.034220532,0.044,0.004739336,0.067164179
"E01004977","Bury 004B","E08000002","Bury",1715,267,275,281,432,460,1801,302,285,297,438,479,0.050145773,0.131086142,0.036363636,0.056939502,0.013888889,0.041304348
"E01004978","Bury 004C","E08000002","Bury",1745,401,293,402,426,223,1653,367,284,373,416,213,-0.052722063,-0.08478803,-0.030716724,-0.072139303,-0.023474178,-0.044843049
"E01004981","Bury 004D","E08000002","Bury",1476,259,186,218,434,379,1494,261,181,218,446,388,0.012195122,0.007722008,-0.02688172,0,0.02764977,0.023746702
"E01004982","Bury 004E","E08000002","Bury",1428,198,177,203,456,394,1426,188,172,201,457,408,-0.00140056,-0.050505051,-0.028248588,-0.009852217,0.002192982,0.035532995
"E01004961","Bury 005A","E08000002","Bury",1496,294,236,293,413,260,1505,288,235,296,418,268,0.006016043,-0.020408163,-0.004237288,0.010238908,0.012106538,0.030769231
"E01004965","Bury 005B","E08000002","Bury",1234,189,152,173,382,338,1236,188,154,177,391,326,0.001620746,-0.005291005,0.013157895,0.023121387,0.023560209,-0.035502959
"E01004966","Bury 005C","E08000002","Bury",1738,444,278,382,380,254,1709,426,265,374,377,267,-0.016685846,-0.040540541,-0.04676259,-0.020942408,-0.007894737,0.051181102
"E01004967","Bury 005D","E08000002","Bury",1235,205,180,185,366,299,1230,212,177,168,370,303,-0.004048583,0.034146341,-0.016666667,-0.091891892,0.010928962,0.013377926
"E01004963","Bury 006A","E08000002","Bury",1572,251,230,268,445,378,1632,266,245,281,459,381,0.038167939,0.059760956,0.065217391,0.048507463,0.031460674,0.007936508
"E01004968","Bury 006B","E08000002","Bury",1554,264,207,272,459,352,1484,246,196,251,441,350,-0.045045045,-0.068181818,-0.053140097,-0.077205882,-0.039215686,-0.005681818
"E01005050","Bury 006C","E08000002","Bury",2081,485,324,442,571,259,2165,506,346,468,587,258,0.040365209,0.043298969,0.067901235,0.058823529,0.028021016,-0.003861004
"E01005052","Bury 006D","E08000002","Bury",1463,263,207,254,406,333,1464,257,216,256,395,340,0.000683527,-0.022813688,0.043478261,0.007874016,-0.027093596,0.021021021
"E01005053","Bury 006E","E08000002","Bury",1531,304,250,293,426,258,1544,323,253,305,413,250,0.008491182,0.0625,0.012,0.040955631,-0.030516432,-0.031007752
"E01004954","Bury 007A","E08000002","Bury",1421,217,222,198,400,384,1418,212,220,206,410,370,-0.002111189,-0.023041475,-0.009009009,0.04040404,0.025,-0.036458333
"E01004955","Bury 007B","E08000002","Bury",1383,305,251,245,384,198,1358,303,245,247,379,184,-0.018076645,-0.006557377,-0.023904382,0.008163265,-0.013020833,-0.070707071
"E01004956","Bury 007C","E08000002","Bury",1687,345,280,358,389,315,1742,360,290,364,396,332,0.032602253,0.043478261,0.035714286,0.016759777,0.017994859,0.053968254
"E01004957","Bury 007D","E08000002","Bury",1847,460,393,329,458,207,1818,446,377,331,452,212,-0.015701137,-0.030434783,-0.040712468,0.006079027,-0.013100437,0.024154589
"E01004960","Bury 007E","E08000002","Bury",1539,481,348,268,322,120,1504,474,345,266,308,111,-0.02274204,-0.014553015,-0.00862069,-0.007462687,-0.043478261,-0.075
"E01004958","Bury 008A","E08000002","Bury",1437,272,297,277,404,187,1467,278,303,288,397,201,0.020876827,0.022058824,0.02020202,0.039711191,-0.017326733,0.07486631
"E01004959","Bury 008B","E08000002","Bury",1729,421,310,362,436,200,1752,411,315,372,443,211,0.013302487,-0.023752969,0.016129032,0.027624309,0.016055046,0.055
"E01004979","Bury 008C","E08000002","Bury",1604,359,343,376,371,155,1606,355,352,381,360,158,0.001246883,-0.011142061,0.026239067,0.013297872,-0.029649596,0.019354839
"E01004980","Bury 008D","E08000002","Bury",1345,278,270,343,297,157,1371,283,282,336,315,155,0.019330855,0.017985612,0.044444444,-0.020408163,0.060606061,-0.012738854
"E01005024","Bury 008E","E08000002","Bury",1906,523,467,464,293,159,1923,549,455,468,295,156,0.008919203,0.049713193,-0.025695931,0.00862069,0.006825939,-0.018867925
"E01005026","Bury 008F","E08000002","Bury",1989,620,382,520,307,160,1966,612,376,515,310,153,-0.0115636,-0.012903226,-0.015706806,-0.009615385,0.009771987,-0.04375
"E01004947","Bury 009A","E08000002","Bury",1495,330,317,343,329,176,1523,331,319,358,331,184,0.018729097,0.003030303,0.006309148,0.043731778,0.006079027,0.045454545
"E01004948","Bury 009B","E08000002","Bury",1930,354,380,374,515,307,1898,345,375,368,507,303,-0.016580311,-0.025423729,-0.013157895,-0.016042781,-0.015533981,-0.013029316
"E01004962","Bury 009C","E08000002","Bury",2051,502,400,504,419,226,2017,489,391,510,418,209,-0.016577279,-0.025896414,-0.0225,0.011904762,-0.002386635,-0.075221239
"E01004964","Bury 009D","E08000002","Bury",1893,386,394,431,442,240,1847,370,379,419,439,240,-0.024300053,-0.041450777,-0.038071066,-0.027842227,-0.00678733,0
"E01004949","Bury 010A","E08000002","Bury",1388,238,167,193,426,364,1397,238,158,195,424,382,0.00648415,0,-0.053892216,0.010362694,-0.004694836,0.049450549
