"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01021375","Braintree 001A","E07000067","Braintree",1084,204,121,152,375,232,1065,193,118,151,361,242,-0.017527675,-0.053921569,-0.024793388,-0.006578947,-0.037333333,0.043103448
"E01021376","Braintree 001B","E07000067","Braintree",1377,223,193,218,463,280,1417,238,190,224,481,284,0.029048656,0.067264574,-0.015544041,0.027522936,0.03887689,0.014285714
"E01021414","Braintree 001C","E07000067","Braintree",2218,343,264,334,773,504,2190,324,267,331,778,490,-0.012623986,-0.055393586,0.011363636,-0.008982036,0.006468305,-0.027777778
"E01021430","Braintree 001D","E07000067","Braintree",2209,434,302,350,688,435,2183,424,297,345,690,427,-0.011770032,-0.023041475,-0.016556291,-0.014285714,0.002906977,-0.018390805
"E01021398","Braintree 002A","E07000067","Braintree",1442,196,158,181,521,386,1456,195,161,175,524,401,0.009708738,-0.005102041,0.018987342,-0.033149171,0.005758157,0.038860104
"E01021406","Braintree 002B","E07000067","Braintree",2258,311,258,285,787,617,2239,299,268,278,780,614,-0.008414526,-0.038585209,0.03875969,-0.024561404,-0.008894536,-0.004862237
"E01021407","Braintree 002C","E07000067","Braintree",2181,358,238,318,720,547,2194,360,242,316,729,547,0.005960569,0.005586592,0.016806723,-0.006289308,0.0125,0
"E01021382","Braintree 003A","E07000067","Braintree",1297,202,136,171,406,382,1325,205,137,182,413,388,0.021588281,0.014851485,0.007352941,0.064327485,0.017241379,0.015706806
"E01021397","Braintree 003B","E07000067","Braintree",1996,331,307,375,602,381,2009,340,304,375,603,387,0.006513026,0.027190332,-0.009771987,0,0.00166113,0.015748031
"E01021399","Braintree 003C","E07000067","Braintree",1711,341,249,265,469,387,1726,344,252,266,475,389,0.008766803,0.008797654,0.012048193,0.003773585,0.012793177,0.005167959
"E01021400","Braintree 003D","E07000067","Braintree",1714,292,195,274,539,414,1735,304,195,276,545,415,0.012252042,0.04109589,0,0.00729927,0.011131725,0.002415459
"E01021387","Braintree 004A","E07000067","Braintree",2051,357,325,422,565,382,2119,374,348,439,579,379,0.033154559,0.047619048,0.070769231,0.04028436,0.024778761,-0.007853403
"E01021388","Braintree 004B","E07000067","Braintree",1736,331,258,325,464,358,1664,314,233,318,446,353,-0.041474654,-0.051359517,-0.096899225,-0.021538462,-0.038793103,-0.01396648
"E01021391","Braintree 004C","E07000067","Braintree",1737,427,322,353,378,257,1721,437,321,330,380,253,-0.009211284,0.023419204,-0.00310559,-0.065155807,0.005291005,-0.015564202
"E01021392","Braintree 004D","E07000067","Braintree",1676,278,240,296,491,371,1659,287,237,286,485,364,-0.010143198,0.032374101,-0.0125,-0.033783784,-0.012219959,-0.018867925
"E01021393","Braintree 004E","E07000067","Braintree",1573,348,259,300,393,273,1590,328,256,311,409,286,0.010807374,-0.057471264,-0.011583012,0.036666667,0.040712468,0.047619048
"E01021404","Braintree 005A","E07000067","Braintree",2147,325,234,270,772,546,2161,326,240,280,763,552,0.006520727,0.003076923,0.025641026,0.037037037,-0.011658031,0.010989011
"E01021411","Braintree 005B","E07000067","Braintree",1301,211,148,204,425,313,1321,209,158,205,434,315,0.01537279,-0.009478673,0.067567568,0.004901961,0.021176471,0.006389776
"E01021412","Braintree 005C","E07000067","Braintree",1541,250,217,218,546,310,1560,252,226,211,561,310,0.012329656,0.008,0.041474654,-0.032110092,0.027472527,0
"E01021413","Braintree 005D","E07000067","Braintree",1266,189,142,185,425,325,1276,191,146,184,437,318,0.007898894,0.010582011,0.028169014,-0.005405405,0.028235294,-0.021538462
"E01021389","Braintree 006A","E07000067","Braintree",1856,350,248,307,483,468,1826,342,245,300,477,462,-0.016163793,-0.022857143,-0.012096774,-0.022801303,-0.01242236,-0.012820513
"E01021390","Braintree 006B","E07000067","Braintree",1589,293,167,258,427,444,1615,293,183,259,436,444,0.016362492,0,0.095808383,0.003875969,0.021077283,0
"E01021408","Braintree 006C","E07000067","Braintree",1751,235,174,272,560,510,1758,241,181,280,549,507,0.003997716,0.025531915,0.040229885,0.029411765,-0.019642857,-0.005882353
"E01021409","Braintree 006D","E07000067","Braintree",1831,378,220,339,569,325,1874,397,240,352,561,324,0.023484435,0.05026455,0.090909091,0.038348083,-0.014059754,-0.003076923
"E01021410","Braintree 006E","E07000067","Braintree",1695,335,243,288,425,404,1622,326,219,278,421,378,-0.043067847,-0.026865672,-0.098765432,-0.034722222,-0.009411765,-0.064356436
"E01021349","Braintree 007A","E07000067","Braintree",1388,299,254,312,392,131,1375,288,265,295,388,139,-0.009365994,-0.036789298,0.043307087,-0.054487179,-0.010204082,0.061068702
"E01021351","Braintree 007B","E07000067","Braintree",1620,401,228,361,465,165,1660,408,240,371,476,165,0.024691358,0.017456359,0.052631579,0.027700831,0.023655914,0
"E01021352","Braintree 007C","E07000067","Braintree",1637,292,223,301,459,362,1618,292,213,309,444,360,-0.011606597,0,-0.044843049,0.026578073,-0.032679739,-0.005524862
"E01021355","Braintree 007D","E07000067","Braintree",2070,342,282,362,544,540,2072,335,283,357,545,552,0.000966184,-0.020467836,0.003546099,-0.013812155,0.001838235,0.022222222
"E01021356","Braintree 007E","E07000067","Braintree",1464,221,188,211,401,443,1464,235,183,209,390,447,0,0.063348416,-0.026595745,-0.009478673,-0.027431421,0.009029345
"E01021381","Braintree 007F","E07000067","Braintree",1223,203,119,160,343,398,1212,183,118,162,357,392,-0.008994276,-0.098522167,-0.008403361,0.0125,0.040816327,-0.015075377
"E01021354","Braintree 008A","E07000067","Braintree",1317,327,212,243,300,235,1287,318,224,240,282,223,-0.022779043,-0.027522936,0.056603774,-0.012345679,-0.06,-0.05106383
"E01021357","Braintree 008B","E07000067","Braintree",1505,219,256,234,469,327,1627,234,273,259,499,362,0.081063123,0.068493151,0.06640625,0.106837607,0.063965885,0.107033639
"E01021358","Braintree 008C","E07000067","Braintree",2243,584,401,428,514,316,2244,579,390,433,519,323,0.000445831,-0.008561644,-0.027431421,0.011682243,0.009727626,0.022151899
"E01021359","Braintree 008D","E07000067","Braintree",2085,448,394,383,492,368,2144,481,394,392,494,383,0.028297362,0.073660714,0,0.023498695,0.004065041,0.04076087
"E01021350","Braintree 009A","E07000067","Braintree",1759,292,234,307,466,460,1637,264,216,293,442,422,-0.06935759,-0.095890411,-0.076923077,-0.045602606,-0.051502146,-0.082608696
"E01021353","Braintree 009B","E07000067","Braintree",1825,359,303,343,479,341,1877,386,315,351,481,344,0.028493151,0.075208914,0.03960396,0.023323615,0.004175365,0.008797654
"E01021365","Braintree 009D","E07000067","Braintree",2393,345,534,528,602,384,2316,342,510,493,587,384,-0.032177183,-0.008695652,-0.04494382,-0.066287879,-0.024916944,0
"E01033458","Braintree 009E","E07000067","Braintree",1604,318,419,451,253,163,1591,289,435,449,255,163,-0.008104738,-0.091194969,0.038186158,-0.00443459,0.007905138,0
"E01033459","Braintree 009F","E07000067","Braintree",1823,334,348,466,408,267,1855,345,363,472,415,260,0.017553483,0.032934132,0.043103448,0.012875536,0.017156863,-0.026217228
"E01021364","Braintree 010A","E07000067","Braintree",1591,291,258,292,447,303,1706,314,292,327,454,319,0.072281584,0.079037801,0.131782946,0.119863014,0.015659955,0.052805281
"E01021366","Braintree 010B","E07000067","Braintree",1644,289,202,278,484,391,1632,286,202,278,480,386,-0.00729927,-0.010380623,0,0,-0.008264463,-0.012787724
"E01021383","Braintree 010C","E07000067","Braintree",2107,486,352,348,627,294,2133,505,357,354,645,272,0.01233982,0.03909465,0.014204545,0.017241379,0.028708134,-0.074829932
"E01021405","Braintree 010D","E07000067","Braintree",2317,437,298,430,711,441,2366,456,308,436,709,457,0.021148036,0.043478261,0.033557047,0.013953488,-0.00281294,0.036281179
"E01021368","Braintree 011A","E07000067","Braintree",1592,280,326,316,391,279,1563,273,325,308,391,266,-0.01821608,-0.025,-0.003067485,-0.025316456,0,-0.046594982
"E01021370","Braintree 011B","E07000067","Braintree",1710,401,265,397,402,245,1712,396,266,400,391,259,0.001169591,-0.012468828,0.003773585,0.007556675,-0.027363184,0.057142857
"E01021372","Braintree 011C","E07000067","Braintree",1997,431,319,467,511,269,2136,469,338,503,549,277,0.069604407,0.088167053,0.059561129,0.077087794,0.074363992,0.029739777
"E01021373","Braintree 011D","E07000067","Braintree",2870,646,515,641,666,402,2766,614,506,611,628,407,-0.036236934,-0.049535604,-0.017475728,-0.046801872,-0.057057057,0.012437811
"E01021374","Braintree 011E","E07000067","Braintree",1517,281,281,291,428,236,1551,291,278,298,430,254,0.022412657,0.035587189,-0.010676157,0.024054983,0.004672897,0.076271186
"E01021360","Braintree 012A","E07000067","Braintree",2053,465,294,386,516,392,2062,470,297,388,516,391,0.004383829,0.010752688,0.010204082,0.005181347,0,-0.00255102
"E01021361","Braintree 012B","E07000067","Braintree",1622,340,231,340,442,269,1589,333,229,328,432,267,-0.020345253,-0.020588235,-0.008658009,-0.035294118,-0.022624434,-0.007434944
"E01021367","Braintree 012C","E07000067","Braintree",1516,308,311,281,398,218,1506,308,303,271,410,214,-0.006596306,0,-0.025723473,-0.035587189,0.030150754,-0.018348624
"E01021369","Braintree 012D","E07000067","Braintree",2892,734,545,683,693,237,2869,724,547,674,668,256,-0.007952974,-0.013623978,0.003669725,-0.01317716,-0.036075036,0.080168776
"E01021380","Braintree 012E","E07000067","Braintree",2384,389,316,375,683,621,2394,398,321,380,677,618,0.004194631,0.023136247,0.015822785,0.013333333,-0.008784773,-0.004830918
"E01021347","Braintree 013A","E07000067","Braintree",2549,570,343,453,723,460,2563,582,349,457,714,461,0.00549235,0.021052632,0.017492711,0.008830022,-0.012448133,0.002173913
"E01021371","Braintree 013B","E07000067","Braintree",1709,323,208,309,423,446,1698,302,215,304,419,458,-0.006436513,-0.06501548,0.033653846,-0.01618123,-0.009456265,0.02690583
"E01021384","Braintree 013C","E07000067","Braintree",2364,566,344,501,654,299,2374,574,333,496,658,313,0.004230118,0.014134276,-0.031976744,-0.00998004,0.006116208,0.046822742
"E01021385","Braintree 013D","E07000067","Braintree",1323,315,222,277,370,139,1317,304,213,281,368,151,-0.004535147,-0.034920635,-0.040540541,0.014440433,-0.005405405,0.086330935
"E01021386","Braintree 013E","E07000067","Braintree",1672,403,196,304,502,267,1666,405,202,298,507,254,-0.003588517,0.004962779,0.030612245,-0.019736842,0.009960159,-0.048689139
"E01021377","Braintree 014A","E07000067","Braintree",1769,311,192,316,529,421,1776,324,192,316,534,410,0.003957038,0.041800643,0,0,0.009451796,-0.026128266
"E01021378","Braintree 014B","E07000067","Braintree",1681,293,179,279,453,477,1694,292,177,279,449,497,0.007733492,-0.003412969,-0.011173184,0,-0.008830022,0.041928721
"E01021379","Braintree 014C","E07000067","Braintree",1823,360,219,317,562,365,1816,350,217,315,567,367,-0.003839824,-0.027777778,-0.00913242,-0.006309148,0.008896797,0.005479452
"E01021401","Braintree 014D","E07000067","Braintree",1490,240,184,237,426,403,1485,236,196,240,420,393,-0.003355705,-0.016666667,0.065217391,0.012658228,-0.014084507,-0.024813896
"E01021402","Braintree 014E","E07000067","Braintree",2064,420,281,401,625,337,2048,409,273,399,632,335,-0.007751938,-0.026190476,-0.028469751,-0.004987531,0.0112,-0.005934718
