"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01003797","Richmond upon Thames 001A","E09000027","Richmond upon Thames",1458,358,162,190,426,322,1469,376,157,193,418,325,0.007544582,0.05027933,-0.030864198,0.015789474,-0.018779343,0.00931677
"E01003798","Richmond upon Thames 001B","E09000027","Richmond upon Thames",1535,302,180,324,434,295,1514,306,178,322,426,282,-0.013680782,0.013245033,-0.011111111,-0.00617284,-0.01843318,-0.044067797
"E01003799","Richmond upon Thames 001C","E09000027","Richmond upon Thames",1603,365,188,376,453,221,1592,360,178,376,460,218,-0.006862133,-0.01369863,-0.053191489,0,0.015452539,-0.013574661
"E01003800","Richmond upon Thames 001D","E09000027","Richmond upon Thames",1533,320,242,290,448,233,1492,313,233,290,437,219,-0.026744945,-0.021875,-0.037190083,0,-0.024553571,-0.060085837
"E01003801","Richmond upon Thames 001E","E09000027","Richmond upon Thames",1240,194,188,308,339,211,1251,198,192,305,337,219,0.008870968,0.020618557,0.021276596,-0.00974026,-0.005899705,0.037914692
"E01003802","Richmond upon Thames 001F","E09000027","Richmond upon Thames",1312,199,181,299,387,246,1286,205,181,285,383,232,-0.019817073,0.030150754,0,-0.046822742,-0.010335917,-0.056910569
"E01003803","Richmond upon Thames 001G","E09000027","Richmond upon Thames",1496,310,263,349,371,203,1492,302,259,353,371,207,-0.002673797,-0.025806452,-0.015209125,0.011461318,0,0.019704433
"E01003846","Richmond upon Thames 002A","E09000027","Richmond upon Thames",1706,380,193,324,503,306,1706,394,187,335,487,303,0,0.036842105,-0.031088083,0.033950617,-0.031809145,-0.009803922
"E01003847","Richmond upon Thames 002B","E09000027","Richmond upon Thames",1507,222,195,445,369,276,1531,204,204,443,380,300,0.01592568,-0.081081081,0.046153846,-0.004494382,0.029810298,0.086956522
"E01003849","Richmond upon Thames 002C","E09000027","Richmond upon Thames",1502,292,155,360,389,306,1478,296,156,352,381,293,-0.015978695,0.01369863,0.006451613,-0.022222222,-0.020565553,-0.04248366
"E01003851","Richmond upon Thames 002D","E09000027","Richmond upon Thames",1650,361,168,322,432,367,1632,351,166,322,436,357,-0.010909091,-0.027700831,-0.011904762,0,0.009259259,-0.027247956
"E01003860","Richmond upon Thames 002E","E09000027","Richmond upon Thames",1820,275,267,605,473,200,1798,288,269,603,448,190,-0.012087912,0.047272727,0.007490637,-0.003305785,-0.052854123,-0.05
"E01003864","Richmond upon Thames 002F","E09000027","Richmond upon Thames",1493,277,181,389,388,258,1555,291,192,406,394,272,0.041527127,0.050541516,0.060773481,0.043701799,0.015463918,0.054263566
"E01003852","Richmond upon Thames 003A","E09000027","Richmond upon Thames",1348,236,190,361,312,249,1379,244,191,366,323,255,0.022997033,0.033898305,0.005263158,0.013850416,0.03525641,0.024096386
"E01003853","Richmond upon Thames 003B","E09000027","Richmond upon Thames",1555,312,181,290,451,321,1512,311,170,280,444,307,-0.027652733,-0.003205128,-0.060773481,-0.034482759,-0.015521064,-0.043613707
"E01003854","Richmond upon Thames 003C","E09000027","Richmond upon Thames",1457,315,170,407,354,211,1461,315,178,395,358,215,0.002745367,0,0.047058824,-0.029484029,0.011299435,0.018957346
"E01003855","Richmond upon Thames 003D","E09000027","Richmond upon Thames",1936,378,285,540,476,257,1929,384,278,535,480,252,-0.003615702,0.015873016,-0.024561404,-0.009259259,0.008403361,-0.019455253
